Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,8609048
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,1152978
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,3758532
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,1927268.0000000002
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,39019947
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,9434274
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,56180345
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,3208867
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,20879620
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,7966033
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,219093319
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,6588704
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,11661
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,7614825
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,60943
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,28928336
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,29348282
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,24471712
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,43017530
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,209344736
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,9477958
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,49230027
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,791856700
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,41357979
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,14818027
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,11667978
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,54510614
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,34506094
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,3118597
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,10479337
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,40533
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,85141
1,"Animal Products",105,"Animal originated products, n.e.s.",10502,"Pig Hair",2021,12189.000000000002
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,430462
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,70921
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,241.00000000000003
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,7010
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,200532
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",2021,104748
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,466053
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,1976390
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,22251728
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,1500429
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,320517
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,20502168
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,4296388
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,42468980
