Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,15309
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,5800
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,268482
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,180
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,1383852
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,4531.000000000001
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,45807
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,5257.000000000001
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,7728
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,2
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,6.999999999999999
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,10
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,16650
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,8888
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,98
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,100
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,6864
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,174
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,14700
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,1497
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,396952.99999999994
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,3817559
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,104494
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,516896.99999999994
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,8531
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,313492
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,18778
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,14794.999999999998
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,2547000
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,42903534.00000001
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,35405697
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,14873
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,276862
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,179925
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,16728984
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,17507
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,241727
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,5401
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,295
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,162817
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,54797864
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,45225
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,321155
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,141657715
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,2499
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,168017134
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,147938
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,207571649
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,6189366
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,37622713
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20809,"Pitted Fruits",2021,5128939
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,45659338
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,177672
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20812,"Preserved Fruits and Nuts",2021,33
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,32500374
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20814,"Citrus and Melon Peels",2021,1136
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,27441
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,81099
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,980198.9999999999
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20906,"Cinnamon",2021,112576
