Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,2116
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,152
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,123.00000000000001
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,1170
2,"Vegetable Products",210,"Cereals",21005,"Corn",2021,7602
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21207,"Other Oily Seeds",2021,2149
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21404,"Other Vegetable Products",2021,94
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31515,"Other Pure Vegetable Oils",2021,2
4,"Foodstuffs",417,"Sugars & confectioneries",41704,"Confectionery Sugar",2021,73
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41901,"Malt Extract",2021,30794
4,"Foodstuffs",421,"Miscellaneous edible preparations",42103,"Sauces and Seasonings",2021,32
4,"Foodstuffs",421,"Miscellaneous edible preparations",42105,"Ice Cream",2021,13677.999999999998
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",2021,95990
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42203,"Beer",2021,64963.00000000001
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42204,"Wine",2021,124922.00000000001
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42208,"Hard Liquor",2021,234028
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42306,"Other Vegetable Residues",2021,2651.9999999999995
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42309,"Animal Food",2021,64587
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52508,"Clays",2021,3109
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52523,"Cement",2021,4776
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52706,"Tar",2021,304
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",2021,973.9999999999999
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52714,"Bitumen and asphalt",2021,707.0000000000001
6,"Chemical Products",629,"Organic chemicals",62905,"Acyclic alcohol derivatives (halogenated, sulphonated, nitrated)",2021,45114
6,"Chemical Products",629,"Organic chemicals",62915,"Saturated Acyclic Monocarboxylic Acids",2021,130
6,"Chemical Products",629,"Organic chemicals",62937,"Hormones",2021,3838
6,"Chemical Products",630,"Pharmaceutical products",63001,"Glands and Other Organs",2021,1
6,"Chemical Products",630,"Pharmaceutical products",63002,"Vaccines, blood, antisera, toxins and cultures",2021,2960534
6,"Chemical Products",630,"Pharmaceutical products",63004,"Packaged Medicaments",2021,18072886
6,"Chemical Products",630,"Pharmaceutical products",63005,"Bandages",2021,87920
6,"Chemical Products",632,"Paints, dyes, & varnishes",63203,"Vegetable or Animal Dyes",2021,96.99999999999999
6,"Chemical Products",632,"Paints, dyes, & varnishes",63204,"Synthetic Coloring Matter",2021,4971
6,"Chemical Products",632,"Paints, dyes, & varnishes",63208,"Nonaqueous Paints",2021,33501
6,"Chemical Products",632,"Paints, dyes, & varnishes",63209,"Aqueous Paints",2021,91
6,"Chemical Products",632,"Paints, dyes, & varnishes",63212,"Nonaqueous Pigments",2021,1825.9999999999998
6,"Chemical Products",632,"Paints, dyes, & varnishes",63213,"Artistry Paints",2021,153.00000000000003
6,"Chemical Products",632,"Paints, dyes, & varnishes",63214,"Glaziers Putty",2021,5533
6,"Chemical Products",632,"Paints, dyes, & varnishes",63215,"Ink",2021,1134.0000000000002
6,"Chemical Products",633,"Perfumery & cosmetics",63301,"Essential Oils",2021,1202
6,"Chemical Products",633,"Perfumery & cosmetics",63303,"Perfumes",2021,187
6,"Chemical Products",633,"Perfumery & cosmetics",63304,"Beauty Products",2021,510
6,"Chemical Products",633,"Perfumery & cosmetics",63305,"Hair Products",2021,230
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63402,"Cleaning Products",2021,1435
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63405,"Polishes and Creams",2021,93.00000000000001
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63406,"Candles",2021,123
6,"Chemical Products",635,"Glues, starches, & albuminoid products",63506,"Glues",2021,34542
6,"Chemical Products",637,"Photo & movie goods",63707,"Photographic Chemicals",2021,20379
6,"Chemical Products",638,"Chemical products n.e.s.",63822,"Laboratory Reagents",2021,327463
6,"Chemical Products",638,"Chemical products n.e.s.",63823,"Industrial Fatty Acids, Oils and Alcohols",2021,3269.0000000000005
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73907,"Polyacetals",2021,96.99999999999999
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73910,"Silicone",2021,193.99999999999997
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73917,"Plastic Pipes",2021,51525
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73919,"Self-adhesive Plastics",2021,589
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73920,"Raw Plastic Sheeting",2021,73
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73922,"Plastic Wash Basins",2021,1188
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73923,"Plastic Lids",2021,43858
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73924,"Plastic Housewares",2021,103
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73926,"Other Plastic Products",2021,12767
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74009,"Rubber Pipes",2021,77
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74010,"Rubber Belting",2021,431
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74012,"Used Rubber Tires",2021,965
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74014,"Pharmaceutical Rubber Products",2021,8731
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74015,"Rubber Apparel",2021,3770
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74016,"Other Rubber Products",2021,1772
8,"Animal Hides",841,"Raw hides & skin (non-fur)",84104,"Tanned Equine and Bovine Hides",2021,15248
8,"Animal Hides",842,"Leather articles",84202,"Trunks and Cases",2021,30593.999999999996
8,"Animal Hides",842,"Leather articles",84203,"Leather Apparel",2021,4175
8,"Animal Hides",842,"Leather articles",84205,"Other Leather Articles",2021,902
9,"Wood Products",944,"Wood, wood articles, & charcoal",94407,"Sawn Wood",2021,7806
9,"Wood Products",944,"Wood, wood articles, & charcoal",94409,"Shaped Wood",2021,709.0000000000001
9,"Wood Products",944,"Wood, wood articles, & charcoal",94412,"Plywood",2021,903
9,"Wood Products",944,"Wood, wood articles, & charcoal",94419,"Wood Kitchenware",2021,51
9,"Wood Products",944,"Wood, wood articles, & charcoal",94420,"Wood Ornaments",2021,121
9,"Wood Products",944,"Wood, wood articles, & charcoal",94421,"Other Wood Articles",2021,211
9,"Wood Products",946,"Straw & esparto manufactures",94602,"Basketwork",2021,10
10,"Paper Goods",1048,"Paper articles",104811,"Cellulose Fibers Paper",2021,237
10,"Paper Goods",1048,"Paper articles",104813,"Cigarette Paper",2021,15145.999999999998
10,"Paper Goods",1048,"Paper articles",104819,"Paper Containers",2021,31217
10,"Paper Goods",1048,"Paper articles",104820,"Paper Notebooks",2021,68
10,"Paper Goods",1048,"Paper articles",104821,"Paper Labels",2021,81
10,"Paper Goods",1048,"Paper articles",104823,"Shaped Paper",2021,940
10,"Paper Goods",1049,"Books, newspapers, & other prints",104901,"Brochures",2021,13417
10,"Paper Goods",1049,"Books, newspapers, & other prints",104902,"Newspapers",2021,12
10,"Paper Goods",1049,"Books, newspapers, & other prints",104903,"Children's Picture Books",2021,63
10,"Paper Goods",1049,"Books, newspapers, & other prints",104911,"Other Printed Material",2021,3826
11,"Textiles",1152,"Cotton",115208,"Light Pure Woven Cotton",2021,27.999999999999996
11,"Textiles",1152,"Cotton",115209,"Heavy Pure Woven Cotton",2021,24631.999999999996
11,"Textiles",1153,"Vegetable textile fibers, paper yarn & fabrics",115310,"Jute Woven Fabric",2021,660.9999999999999
11,"Textiles",1155,"Man-made staple fibres",115511,"Retail Artificial Staple Fibers Yarn",2021,861
11,"Textiles",1155,"Man-made staple fibres",115515,"Other Synthetic Fabrics",2021,1050
11,"Textiles",1156,"Wadding, felt, nonwovens, twin, ropes, & articles thereof",115603,"Non-woven Textiles",2021,37791
11,"Textiles",1156,"Wadding, felt, nonwovens, twin, ropes, & articles thereof",115607,"Twine and Rope",2021,124
11,"Textiles",1156,"Wadding, felt, nonwovens, twin, ropes, & articles thereof",115609,"Other Articles of Twine and Rope",2021,301
11,"Textiles",1157,"Carpets & textile floor covers",115702,"Hand-Woven Rugs",2021,119
11,"Textiles",1157,"Carpets & textile floor covers",115703,"Tufted Carpets",2021,13581.999999999998
11,"Textiles",1157,"Carpets & textile floor covers",115704,"Felt Carpets",2021,147
11,"Textiles",1158,"Special woven fabrics and tapestries",115805,"Hand-Woven Tapestries",2021,100.99999999999999
11,"Textiles",1158,"Special woven fabrics and tapestries",115806,"Narrow Woven Fabric",2021,2137
11,"Textiles",1158,"Special woven fabrics and tapestries",115808,"Ornamental Trimmings",2021,382
11,"Textiles",1161,"Knitted clothing accesories",116102,"Knit Women's Coats",2021,347
11,"Textiles",1161,"Knitted clothing accesories",116103,"Knit Men's Suits",2021,2252
11,"Textiles",1161,"Knitted clothing accesories",116104,"Knit Women's Suits",2021,4244
11,"Textiles",1161,"Knitted clothing accesories",116106,"Knit Women's Shirts",2021,262
11,"Textiles",1161,"Knitted clothing accesories",116107,"Knit Men's Undergarments",2021,46
11,"Textiles",1161,"Knitted clothing accesories",116109,"Knit T-shirts",2021,4003
11,"Textiles",1161,"Knitted clothing accesories",116110,"Knit Sweaters",2021,6885
11,"Textiles",1161,"Knitted clothing accesories",116112,"Knit Active Wear",2021,1981
11,"Textiles",1161,"Knitted clothing accesories",116114,"Other Knit Garments",2021,268
11,"Textiles",1161,"Knitted clothing accesories",116115,"Knit Socks and Hosiery",2021,151
11,"Textiles",1161,"Knitted clothing accesories",116116,"Knit Gloves",2021,92
