Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,12838237
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,10832420
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,4000
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,18698
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,694738
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,18.000000000000004
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,54814
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,415178
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,11069
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,20005
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,6246
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,4155
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,2449655
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,56355972
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,4866673
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,147695
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,154761
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,9250
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,558.9999999999999
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,6973.000000000001
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,77754
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,734924
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,818387
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,15248728
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,945
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,3278693
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,27691.999999999996
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,2245
