Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,7818
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,14775.000000000002
1,"Animal Products",101,"Live animals",10103,"Pigs",2021,81.99999999999999
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,46418
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,121
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,5984
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,1717
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,3398
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,2660
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,12
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,681
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,129856
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,55
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,4384
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,12460
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,14692162
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,32063709
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,179567
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,28135312
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,2394368
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,17735
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,297926
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,3422
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,2313
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,43344
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,793
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,30787
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,3163
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,519
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,23
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,31
1,"Animal Products",105,"Animal originated products, n.e.s.",10502,"Pig Hair",2021,218
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,26310
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,736
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,193.99999999999997
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,718
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,100.99999999999999
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,91
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,125840
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,11745
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,433331
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,957
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,5300
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,3182
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,75
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,9499
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,39638
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,84846
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,1341.0000000000002
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,29073
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,482907
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,189249
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,6253.999999999999
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,27955
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,6525035
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,147562
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,109814
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,4672
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,617022.0000000001
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,5855
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20809,"Pitted Fruits",2021,119
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,674309
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,20983
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,811.9999999999999
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,2296963
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,9889
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,638
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20905,"Vanilla",2021,18765
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20909,"Spice Seeds",2021,1263
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,2375
2,"Vegetable Products",210,"Cereals",21001,"Wheat",2021,626
2,"Vegetable Products",210,"Cereals",21003,"Barley",2021,413
2,"Vegetable Products",210,"Cereals",21004,"Oats",2021,188
2,"Vegetable Products",210,"Cereals",21005,"Corn",2021,11108
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,37789
2,"Vegetable Products",210,"Cereals",21008,"Buckwheat",2021,3907
2,"Vegetable Products",211,"Products of the milling industry",21101,"Wheat Flours",2021,1624599
2,"Vegetable Products",211,"Products of the milling industry",21102,"Cereal Flours",2021,3194
2,"Vegetable Products",211,"Products of the milling industry",21103,"Cereal Meal and Pellets",2021,37720.00000000001
2,"Vegetable Products",211,"Products of the milling industry",21104,"Processed Cereals",2021,710
2,"Vegetable Products",211,"Products of the milling industry",21106,"Legume Flours",2021,141562
2,"Vegetable Products",211,"Products of the milling industry",21107,"Malt",2021,30
2,"Vegetable Products",211,"Products of the milling industry",21108,"Starches",2021,24
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21201,"Soybeans",2021,89.00000000000001
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21202,"Ground Nuts",2021,58
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21203,"Copra",2021,222
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21207,"Other Oily Seeds",2021,419
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21209,"Sowing Seeds",2021,1799
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",2021,58046
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21212,"Locust beans, seaweed, sugar beet, cane, for food",2021,379.99999999999994
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21214,"Forage Crops",2021,428
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21401,"Vegetable Plaiting Materials",2021,60
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21404,"Other Vegetable Products",2021,231
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31502,"Bovine, Sheep, and Goat Fat",2021,996
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31504,"Fish Oil",2021,187946.00000000003
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31506,"Other Animal Fats",2021,317
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31507,"Soybean Oil",2021,2243
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31508,"Ground Nut Oil",2021,3232
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31509,"Pure Olive Oil",2021,3072
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31511,"Palm Oil",2021,365845
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31512,"Seed Oils",2021,203
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31513,"Coconut Oil",2021,68
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31515,"Other Pure Vegetable Oils",2021,22997
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31516,"Other Vegetable Oils",2021,12039
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31517,"Margarine",2021,81945
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31519,"Stearic Acid",2021,1911
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31520,"Glycerol",2021,19023
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41601,"Sausages",2021,2555
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41602,"Other Prepared Meat",2021,9068
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41604,"Processed Fish",2021,8966
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41605,"Processed Crustaceans",2021,1739266
4,"Foodstuffs",417,"Sugars & confectioneries",41701,"Raw Sugar",2021,1725556
4,"Foodstuffs",417,"Sugars & confectioneries",41702,"Other Sugars",2021,34964
4,"Foodstuffs",417,"Sugars & confectioneries",41703,"Molasses",2021,1
4,"Foodstuffs",417,"Sugars & confectioneries",41704,"Confectionery Sugar",2021,15417
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41804,"Cocoa Butter",2021,13
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41805,"Cocoa Powder",2021,2
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41806,"Chocolate",2021,63321
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41901,"Malt Extract",2021,12375
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41902,"Pasta",2021,44855
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41904,"Prepared Cereals",2021,62702
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41905,"Baked Goods",2021,113897
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42002,"Processed Tomatoes",2021,6868
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42003,"Processed Mushrooms",2021,6.999999999999999
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42004,"Other Frozen Vegetables",2021,28498
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42005,"Other Processed Vegetables",2021,2044
