Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,2915
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,51
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,787
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,9861
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,131865
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,760
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,2541
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,59.00000000000001
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,437.99999999999994
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,184
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,76
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,10055
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,249
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,332.99999999999994
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,2971
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,1138
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,1629
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,66207
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,2054
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,32
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,8025
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,42
