Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,57163.99999999999
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,24174
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,32435
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,296249
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,218.99999999999997
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,9296
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,54717
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,34616
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,15823
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,688602
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,15200.999999999998
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,29814
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,263002
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,1145059
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,73651
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,406440.00000000006
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,934567
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,352013
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,42
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,1251995
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,6793926
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,3422
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,2597907
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,19040
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,150
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,1746779
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,3902
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,187958
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,124514
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,114750
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,39284183
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,160403634.99999997
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,5166620
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,19052
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,576951
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,757166
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,8893584
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,388760
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,5012019
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,4
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,5674
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,478972.99999999994
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,44913.99999999999
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,106406143
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,11989
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,164916
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,754623
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,7112832.000000001
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,6434516
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,43949235
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20809,"Pitted Fruits",2021,67774777
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,176360105
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,260107
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20812,"Preserved Fruits and Nuts",2021,953
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,1249676
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,9511
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,8925532
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,2903
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20906,"Cinnamon",2021,586
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20907,"Cloves",2021,1024
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20908,"Nutmeg, mace and cardamons",2021,537
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20909,"Spice Seeds",2021,3323
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,302570
2,"Vegetable Products",210,"Cereals",21001,"Wheat",2021,184
2,"Vegetable Products",210,"Cereals",21002,"Rye",2021,184
2,"Vegetable Products",210,"Cereals",21003,"Barley",2021,7120086
2,"Vegetable Products",210,"Cereals",21004,"Oats",2021,9.000000000000002
2,"Vegetable Products",210,"Cereals",21005,"Corn",2021,2601714
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,28936
2,"Vegetable Products",210,"Cereals",21008,"Buckwheat",2021,62783
2,"Vegetable Products",211,"Products of the milling industry",21101,"Wheat Flours",2021,857
2,"Vegetable Products",211,"Products of the milling industry",21102,"Cereal Flours",2021,520
2,"Vegetable Products",211,"Products of the milling industry",21103,"Cereal Meal and Pellets",2021,350
2,"Vegetable Products",211,"Products of the milling industry",21104,"Processed Cereals",2021,121200
2,"Vegetable Products",211,"Products of the milling industry",21106,"Legume Flours",2021,313973
2,"Vegetable Products",211,"Products of the milling industry",21108,"Starches",2021,347006
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21202,"Ground Nuts",2021,26.000000000000004
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21206,"Sunflower Seeds",2021,73046
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21207,"Other Oily Seeds",2021,5639238
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21209,"Sowing Seeds",2021,267886
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",2021,1916195.0000000002
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21212,"Locust beans, seaweed, sugar beet, cane, for food",2021,6322
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21214,"Forage Crops",2021,234842
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21302,"Vegetable Saps",2021,1500448
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21404,"Other Vegetable Products",2021,961016
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31502,"Bovine, Sheep, and Goat Fat",2021,96808.00000000001
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31508,"Ground Nut Oil",2021,3305
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31509,"Pure Olive Oil",2021,234296
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31512,"Seed Oils",2021,14011365
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31513,"Coconut Oil",2021,18684
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31515,"Other Pure Vegetable Oils",2021,1379240.0000000002
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31516,"Other Vegetable Oils",2021,11239372
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31517,"Margarine",2021,5733187
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31518,"Inedible Fats and Oils",2021,539521
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31519,"Stearic Acid",2021,226232.00000000003
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41601,"Sausages",2021,25263
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41602,"Other Prepared Meat",2021,174281
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41604,"Processed Fish",2021,179552
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41605,"Processed Crustaceans",2021,12038
4,"Foodstuffs",417,"Sugars & confectioneries",41701,"Raw Sugar",2021,33268030
4,"Foodstuffs",417,"Sugars & confectioneries",41702,"Other Sugars",2021,130229.99999999999
4,"Foodstuffs",417,"Sugars & confectioneries",41703,"Molasses",2021,47763
4,"Foodstuffs",417,"Sugars & confectioneries",41704,"Confectionery Sugar",2021,789733
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41806,"Chocolate",2021,5961256
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41901,"Malt Extract",2021,63675.99999999999
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41902,"Pasta",2021,542672
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41904,"Prepared Cereals",2021,42465.99999999999
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41905,"Baked Goods",2021,2562558
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42001,"Pickled Foods",2021,346915
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42002,"Processed Tomatoes",2021,1201675
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42004,"Other Frozen Vegetables",2021,1148
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42005,"Other Processed Vegetables",2021,806074
