Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,253538034
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,212093540
1,"Animal Products",101,"Live animals",10103,"Pigs",2021,137646682
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,1176681
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,202488351
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,101999553
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,639139069
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,79703624
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,1579582346
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,84181240
1,"Animal Products",102,"Meat & edible offal",10205,"Horse Meat",2021,42957306
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,118715269
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,971700401
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,44060270
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,27612429
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,118786634
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,3266773
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,101747553
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,40299529
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,200416571
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,84132864
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,239032125
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,27614102
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,632871586
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,971728464
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,350316572
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,84950880
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,691432171
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,1182939474
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,221247210
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,44868849
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,47390303
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,9550698.000000002
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,3916
1,"Animal Products",105,"Animal originated products, n.e.s.",10502,"Pig Hair",2021,132153
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,93816518
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,3458577
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,29723217
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,60709
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,1241084
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",2021,12869277
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,124601826
