Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,4236
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,10112500
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,8656643
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,2254
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,290739
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,52727
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,1104
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,13209.000000000002
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,34298
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,3338.0000000000005
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,23730
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,234
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,135837
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,14842.000000000002
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,17755
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,2273
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,23847.999999999996
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,862
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,5615
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",2021,7997.000000000001
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,276
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,7226
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,31560
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,41511
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,65120.00000000001
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,59822
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,1022480
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,3705663.9999999995
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,392558
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,29263.999999999996
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,526
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,491658
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,2420195
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,1864
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,360
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,64255
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,115784
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,615908
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,95651326
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,23980
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,163952
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,43639226
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,56845
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,62870
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,60723
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,1387
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,154202
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,14907
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20812,"Preserved Fruits and Nuts",2021,16636
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,587025
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20814,"Citrus and Melon Peels",2021,28217.000000000004
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,55630
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,35189
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20903,"Mate",2021,22.000000000000004
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,68675
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20906,"Cinnamon",2021,1333.0000000000002
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20909,"Spice Seeds",2021,1419
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,702284
2,"Vegetable Products",210,"Cereals",21001,"Wheat",2021,1628
2,"Vegetable Products",210,"Cereals",21003,"Barley",2021,217
2,"Vegetable Products",210,"Cereals",21004,"Oats",2021,5428
2,"Vegetable Products",210,"Cereals",21005,"Corn",2021,1802532
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,1418201
2,"Vegetable Products",210,"Cereals",21007,"Sorghum",2021,551782
2,"Vegetable Products",210,"Cereals",21008,"Buckwheat",2021,1256291
2,"Vegetable Products",211,"Products of the milling industry",21101,"Wheat Flours",2021,1
2,"Vegetable Products",211,"Products of the milling industry",21102,"Cereal Flours",2021,74366
2,"Vegetable Products",211,"Products of the milling industry",21103,"Cereal Meal and Pellets",2021,11698
2,"Vegetable Products",211,"Products of the milling industry",21104,"Processed Cereals",2021,31472
2,"Vegetable Products",211,"Products of the milling industry",21105,"Potato Flours",2021,44.00000000000001
2,"Vegetable Products",211,"Products of the milling industry",21106,"Legume Flours",2021,46300
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21201,"Soybeans",2021,16600054
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21202,"Ground Nuts",2021,2353006
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21206,"Sunflower Seeds",2021,17599
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21207,"Other Oily Seeds",2021,114537593
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21208,"Oil Seed Flower",2021,13521.000000000002
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21209,"Sowing Seeds",2021,206283
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",2021,1076556
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21212,"Locust beans, seaweed, sugar beet, cane, for food",2021,736363
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21301,"Insect Resins",2021,15
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21302,"Vegetable Saps",2021,37040
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21401,"Vegetable Plaiting Materials",2021,306
