Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,1269490
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,9316
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,9161
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,578658
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,89079
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,489122
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,42074
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,88853
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,28111
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,6525145
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,7685
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,1456
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,157635
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,8495
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,888225
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,4975715
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,117604
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,34721754
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,2689246
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,2438290
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,12521773
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,6723931
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,26144.000000000004
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,2830176
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,268332808
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,241758
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,5602
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,248967
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,3271.0000000000005
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,1489
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,48
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,263
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,31485
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,2609904
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,23317
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,689
