Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,8427
1,"Animal Products",101,"Live animals",10103,"Pigs",2021,108.00000000000001
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,13841
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,70614
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,668544
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,758
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,17391
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,2915
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,7892
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,434463
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,173316
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,366
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,7917
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,2678
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,17532
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,317
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,747
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,660691
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,3501
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,13061
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,40838
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,25509
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,4136
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,134
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,3006
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,4733
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,134
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,2376
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,123336
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,329
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,243976
