Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,7620
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,4260
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,100.99999999999999
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,3131
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,1
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,7747.999999999999
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20909,"Spice Seeds",2021,987
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,2660
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,710
2,"Vegetable Products",211,"Products of the milling industry",21105,"Potato Flours",2021,1642
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21206,"Sunflower Seeds",2021,34122
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",2021,612
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31514,"Rapeseed Oil",2021,21772.999999999996
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41602,"Other Prepared Meat",2021,170511
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41904,"Prepared Cereals",2021,142
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41905,"Baked Goods",2021,57663
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42001,"Pickled Foods",2021,126
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42003,"Processed Mushrooms",2021,557.9999999999999
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42007,"Jams",2021,63
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42008,"Other Processed Fruits and Nuts",2021,2357
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42009,"Fruit Juice",2021,220842
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",2021,116496
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42204,"Wine",2021,760038
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",2021,189990.99999999997
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52712,"Petroleum Jelly",2021,1579
6,"Chemical Products",629,"Organic chemicals",62922,"Oxygen Amino Compounds",2021,341
6,"Chemical Products",630,"Pharmaceutical products",63002,"Vaccines, blood, antisera, toxins and cultures",2021,14440
6,"Chemical Products",630,"Pharmaceutical products",63004,"Packaged Medicaments",2021,4489
6,"Chemical Products",630,"Pharmaceutical products",63005,"Bandages",2021,602
6,"Chemical Products",630,"Pharmaceutical products",63006,"Special Pharmaceuticals",2021,138558
6,"Chemical Products",631,"Fertilizers",63104,"Potassic Fertilizers",2021,9966953
6,"Chemical Products",632,"Paints, dyes, & varnishes",63208,"Nonaqueous Paints",2021,3450
6,"Chemical Products",632,"Paints, dyes, & varnishes",63214,"Glaziers Putty",2021,92359
6,"Chemical Products",633,"Perfumery & cosmetics",63303,"Perfumes",2021,155
6,"Chemical Products",633,"Perfumery & cosmetics",63304,"Beauty Products",2021,11177
6,"Chemical Products",633,"Perfumery & cosmetics",63305,"Hair Products",2021,8940
6,"Chemical Products",633,"Perfumery & cosmetics",63307,"Shaving Products",2021,4564
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63401,"Soap",2021,6242.000000000001
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63402,"Cleaning Products",2021,3797.0000000000005
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63403,"Lubricating Products",2021,1382
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63407,"Pastes and Waxes",2021,421.00000000000006
6,"Chemical Products",635,"Glues, starches, & albuminoid products",63506,"Glues",2021,6244
6,"Chemical Products",638,"Chemical products n.e.s.",63808,"Pesticides",2021,12
6,"Chemical Products",638,"Chemical products n.e.s.",63814,"Organic Composite Solvents",2021,273.99999999999994
6,"Chemical Products",638,"Chemical products n.e.s.",63819,"Hydraulic Brake Fluid",2021,4283
6,"Chemical Products",638,"Chemical products n.e.s.",63820,"Antifreeze",2021,4038.9999999999995
6,"Chemical Products",638,"Chemical products n.e.s.",63822,"Laboratory Reagents",2021,346.00000000000006
6,"Chemical Products",638,"Chemical products n.e.s.",63823,"Industrial Fatty Acids, Oils and Alcohols",2021,16795
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73906,"Acrylic Polymers",2021,1083
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73909,"Amino-resins",2021,5762.999999999999
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73916,"Monofilament",2021,10427.999999999998
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73917,"Plastic Pipes",2021,22514
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73919,"Self-adhesive Plastics",2021,2261
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73921,"Other Plastic Sheetings",2021,1436.9999999999998
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73923,"Plastic Lids",2021,76338
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73924,"Plastic Housewares",2021,1599
