Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,7970
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,19679.000000000004
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,8199
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,161610
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,69997
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,391
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,16852
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,50017
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,22.000000000000004
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,54
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,104544
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,87347
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,1405087
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,11880
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,5825
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,16893430
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,169470
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,71288
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,189390
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,2110
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,2
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,92349
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,602868
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,1180
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,5367.000000000001
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,173010
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,1813
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,3665
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,13014.000000000002
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,5642
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,9701
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,21689
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,1909.0000000000002
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,714
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,417.00000000000006
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,275
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,189
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,79066
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,187
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,137
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,72570
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,67
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,77
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,95
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,409
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,33834
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,27101
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,14380
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,533514
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,1458.9999999999998
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20809,"Pitted Fruits",2021,1234
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,2627
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,2016
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20814,"Citrus and Melon Peels",2021,38
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,128
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,23120
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20903,"Mate",2021,522
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,200
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,24947
2,"Vegetable Products",210,"Cereals",21004,"Oats",2021,45
2,"Vegetable Products",210,"Cereals",21005,"Corn",2021,182279.99999999997
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,59286
2,"Vegetable Products",211,"Products of the milling industry",21101,"Wheat Flours",2021,54864
2,"Vegetable Products",211,"Products of the milling industry",21102,"Cereal Flours",2021,4439
2,"Vegetable Products",211,"Products of the milling industry",21103,"Cereal Meal and Pellets",2021,95
2,"Vegetable Products",211,"Products of the milling industry",21104,"Processed Cereals",2021,2732
2,"Vegetable Products",211,"Products of the milling industry",21105,"Potato Flours",2021,74.00000000000001
2,"Vegetable Products",211,"Products of the milling industry",21106,"Legume Flours",2021,9.000000000000002
2,"Vegetable Products",211,"Products of the milling industry",21108,"Starches",2021,4305
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21201,"Soybeans",2021,59641.00000000001
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21202,"Ground Nuts",2021,23077
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21206,"Sunflower Seeds",2021,6
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21209,"Sowing Seeds",2021,3961
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",2021,19
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21302,"Vegetable Saps",2021,35
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21401,"Vegetable Plaiting Materials",2021,121
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21404,"Other Vegetable Products",2021,2952
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31504,"Fish Oil",2021,246718
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31507,"Soybean Oil",2021,494
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31509,"Pure Olive Oil",2021,1072
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31512,"Seed Oils",2021,168.99999999999997
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31513,"Coconut Oil",2021,243
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31515,"Other Pure Vegetable Oils",2021,563
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31516,"Other Vegetable Oils",2021,148402
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31517,"Margarine",2021,92283
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31518,"Inedible Fats and Oils",2021,280541
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31519,"Stearic Acid",2021,54774
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41601,"Sausages",2021,3468.9999999999995
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41602,"Other Prepared Meat",2021,188433.00000000003
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41603,"Animal Extracts",2021,166.99999999999997
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41604,"Processed Fish",2021,22881
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41605,"Processed Crustaceans",2021,456958
4,"Foodstuffs",417,"Sugars & confectioneries",41701,"Raw Sugar",2021,193918
4,"Foodstuffs",417,"Sugars & confectioneries",41702,"Other Sugars",2021,7588
4,"Foodstuffs",417,"Sugars & confectioneries",41703,"Molasses",2021,21
4,"Foodstuffs",417,"Sugars & confectioneries",41704,"Confectionery Sugar",2021,212849
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41805,"Cocoa Powder",2021,2259
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41806,"Chocolate",2021,145717
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41901,"Malt Extract",2021,197546
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41902,"Pasta",2021,28976
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41903,"Tapioca",2021,74.00000000000001
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41904,"Prepared Cereals",2021,44859
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41905,"Baked Goods",2021,148094
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42001,"Pickled Foods",2021,2234
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42002,"Processed Tomatoes",2021,114
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42003,"Processed Mushrooms",2021,8152.999999999999
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42004,"Other Frozen Vegetables",2021,5730
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42005,"Other Processed Vegetables",2021,744
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42006,"Sugar Preserved Foods",2021,465
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42007,"Jams",2021,2666.0000000000005
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42008,"Other Processed Fruits and Nuts",2021,1015559
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42009,"Fruit Juice",2021,18352
4,"Foodstuffs",421,"Miscellaneous edible preparations",42101,"Coffee and Tea Extracts",2021,6629
4,"Foodstuffs",421,"Miscellaneous edible preparations",42102,"Yeast",2021,822090
4,"Foodstuffs",421,"Miscellaneous edible preparations",42103,"Sauces and Seasonings",2021,31792
4,"Foodstuffs",421,"Miscellaneous edible preparations",42104,"Soups and Broths",2021,36844
4,"Foodstuffs",421,"Miscellaneous edible preparations",42105,"Ice Cream",2021,143.00000000000003
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",2021,451108
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42201,"Water",2021,15966
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42202,"Flavored Water",2021,139412
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42208,"Hard Liquor",2021,188.99999999999997
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42209,"Vinegar",2021,65478.00000000001
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42302,"Bran",2021,187941
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42309,"Animal Food",2021,4213491
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52501,"Salt",2021,457.00000000000006
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52503,"Sulphur",2021,14277330.000000002
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52505,"Sand",2021,300
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52506,"Quartz",2021,51743
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52508,"Clays",2021,42575
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52511,"Barium Sulphate",2021,7494
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52515,"Marble, Travertine and Alabaster",2021,159
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52517,"Gravel and Crushed Stone",2021,8749
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52519,"Magnesium Carbonate",2021,19108
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52520,"Gypsum",2021,9
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52522,"Quicklime",2021,75
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52523,"Cement",2021,207192
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52525,"Mica",2021,13.000000000000002
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52530,"Other Mineral",2021,6207
5,"Mineral Products",526,"Ores, slag and ash",52617,"Other Ores",2021,12.000000000000002
5,"Mineral Products",526,"Ores, slag and ash",52620,"Non-Iron and Steel Slag, Ash and Residues",2021,1
5,"Mineral Products",526,"Ores, slag and ash",52621,"Other Slag and Ash",2021,11.000000000000002
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52701,"Coal Briquettes",2021,97.00000000000001
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52703,"Peat",2021,81.99999999999999
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52707,"Coal Tar Oil",2021,117980411
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52709,"Crude Petroleum",2021,1990296392
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",2021,2766528840
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52711,"Petroleum Gas",2021,3211896921
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52712,"Petroleum Jelly",2021,1000
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52713,"Petroleum Coke",2021,8631
6,"Chemical Products",628,"Inorganic chemicals",62801,"Halogens",2021,884
6,"Chemical Products",628,"Inorganic chemicals",62804,"Hydrogen",2021,246113
6,"Chemical Products",628,"Inorganic chemicals",62807,"Sulfuric Acid",2021,346
6,"Chemical Products",628,"Inorganic chemicals",62809,"Phosphoric Acid",2021,1173
6,"Chemical Products",628,"Inorganic chemicals",62811,"Other Inorganic Acids",2021,1592.9999999999998
6,"Chemical Products",628,"Inorganic chemicals",62815,"Sodium or Potassium Peroxides",2021,1464
6,"Chemical Products",628,"Inorganic chemicals",62820,"Manganese Oxides",2021,360
6,"Chemical Products",628,"Inorganic chemicals",62826,"Fluorides",2021,1
6,"Chemical Products",628,"Inorganic chemicals",62827,"Chlorides",2021,2627059
6,"Chemical Products",628,"Inorganic chemicals",62828,"Hypochlorites",2021,1809.0000000000002
6,"Chemical Products",628,"Inorganic chemicals",62832,"Sulfites",2021,6
6,"Chemical Products",628,"Inorganic chemicals",62833,"Sulfates",2021,1803
6,"Chemical Products",628,"Inorganic chemicals",62835,"Phosphinates (hypophosphites) and phosphonates (phosphites)",2021,253850
6,"Chemical Products",628,"Inorganic chemicals",62836,"Carbonates",2021,244.00000000000003
6,"Chemical Products",628,"Inorganic chemicals",62839,"Silicates",2021,17735
