Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,8107636
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,94179032
1,"Animal Products",101,"Live animals",10103,"Pigs",2021,4604712
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,97172547
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,763469
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,1019777566.9999999
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,6881080438
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,2535828090
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,2260904
1,"Animal Products",102,"Meat & edible offal",10205,"Horse Meat",2021,14049788
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,468577666
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,6872997411
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,155988
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,5508177
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,368751076
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,7590988
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,60812425
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,126613476
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,16877666
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,27759105
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,123590817
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,1673079
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,17165311
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,44863261
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,1105599
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,4419543
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,2244052
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,23979871
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,67968891
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,7940868
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,167741122
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,6102893
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,2063007
1,"Animal Products",105,"Animal originated products, n.e.s.",10502,"Pig Hair",2021,82985
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,394759947
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,2295667
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,12705416
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,8352449
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,706.9999999999999
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",2021,97728292
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,193932811
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,6060606
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,10181656
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,856311
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,2821439
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,2531051
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,1063220
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,3055698
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,1277821
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,453864
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,1106212
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,157596
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,292871
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,10008047
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,904436
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,433995
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,611439
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,216067609
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,6996474
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,140882114
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,21387167
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,50497878
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,442579778
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,166784106
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,208759567
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,410262576
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,79882567
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20809,"Pitted Fruits",2021,421769
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,6707725
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,15333620
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20812,"Preserved Fruits and Nuts",2021,1952007
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,3286579
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20814,"Citrus and Melon Peels",2021,1314889
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,6216719409
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,1675057
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20903,"Mate",2021,102187823
