Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,63672
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,89162
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,543758
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,10970
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,37.00000000000001
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,79410670
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,3929853
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,57380
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,44.00000000000001
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,4000
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,794494
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",2021,311370
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,2144817
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,506
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,1408.0000000000002
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,12795
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,6322.999999999999
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,4
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,20
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,1
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,159
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,1365
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,662.9999999999999
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,2676
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,30
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,6319
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,3721.0000000000005
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,662
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,30
2,"Vegetable Products",211,"Products of the milling industry",21101,"Wheat Flours",2021,15
2,"Vegetable Products",211,"Products of the milling industry",21102,"Cereal Flours",2021,8
2,"Vegetable Products",211,"Products of the milling industry",21103,"Cereal Meal and Pellets",2021,36.00000000000001
2,"Vegetable Products",211,"Products of the milling industry",21107,"Malt",2021,9521
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",2021,668336
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31509,"Pure Olive Oil",2021,10
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31511,"Palm Oil",2021,4
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31515,"Other Pure Vegetable Oils",2021,655
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41602,"Other Prepared Meat",2021,40514
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41604,"Processed Fish",2021,120
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41605,"Processed Crustaceans",2021,551636.0000000001
4,"Foodstuffs",417,"Sugars & confectioneries",41701,"Raw Sugar",2021,14319
4,"Foodstuffs",417,"Sugars & confectioneries",41702,"Other Sugars",2021,682.9999999999999
4,"Foodstuffs",417,"Sugars & confectioneries",41704,"Confectionery Sugar",2021,704.0000000000001
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41901,"Malt Extract",2021,14386.000000000002
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41902,"Pasta",2021,77
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41904,"Prepared Cereals",2021,30
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41905,"Baked Goods",2021,14635.000000000002
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42001,"Pickled Foods",2021,77876
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42004,"Other Frozen Vegetables",2021,2881.9999999999995
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42005,"Other Processed Vegetables",2021,36
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42007,"Jams",2021,35
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42008,"Other Processed Fruits and Nuts",2021,20
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42009,"Fruit Juice",2021,9409
4,"Foodstuffs",421,"Miscellaneous edible preparations",42103,"Sauces and Seasonings",2021,8261
4,"Foodstuffs",421,"Miscellaneous edible preparations",42104,"Soups and Broths",2021,24
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",2021,47304
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42201,"Water",2021,32757.999999999996
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42202,"Flavored Water",2021,4012
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42203,"Beer",2021,1699
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42204,"Wine",2021,19290
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42208,"Hard Liquor",2021,8284636
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42309,"Animal Food",2021,647
4,"Foodstuffs",424,"Tobacco & substitutes",42401,"Raw Tobacco",2021,5950
4,"Foodstuffs",424,"Tobacco & substitutes",42402,"Rolled Tobacco",2021,32549.999999999996
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52501,"Salt",2021,23057340
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52505,"Sand",2021,3229574.9999999995
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52517,"Gravel and Crushed Stone",2021,35789546
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52519,"Magnesium Carbonate",2021,117
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52521,"Limestone",2021,431920
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52530,"Other Mineral",2021,830013
5,"Mineral Products",526,"Ores, slag and ash",52620,"Non-Iron and Steel Slag, Ash and Residues",2021,15768662
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52707,"Coal Tar Oil",2021,135
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",2021,347666049
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52711,"Petroleum Gas",2021,9418156
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52713,"Petroleum Coke",2021,235
6,"Chemical Products",628,"Inorganic chemicals",62804,"Hydrogen",2021,4160
6,"Chemical Products",628,"Inorganic chemicals",62818,"Aluminium Oxide",2021,385051.99999999994
