Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,63547.00000000001
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,139424003
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,9641
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,120418.99999999999
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,3331710.0000000005
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,11265472
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,331677
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,36685
1,"Animal Products",102,"Meat & edible offal",10205,"Horse Meat",2021,50141.00000000001
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,74848
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,82250
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,86110
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,89519
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,326
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,101530
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,22368
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,2490080
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,11
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,63
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,62317.99999999999
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,33211
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,587
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,77
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,2350
