Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,1254389.9999999998
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,170897
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,618001
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,228807
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,768757
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,442324
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,18105040
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,20134545
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,10931230
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,25376
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,40
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,8242
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,1246
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,1420
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,36525
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,5795
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,3598.9999999999995
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,7626
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,39851
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,13198
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,8412200
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,5415.000000000001
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,62923570
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,6220
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,25646.000000000004
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,500349.00000000006
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,596
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,896
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,724323
