Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,10
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,21
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21202,"Ground Nuts",2021,93150
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41602,"Other Prepared Meat",2021,453.99999999999994
4,"Foodstuffs",417,"Sugars & confectioneries",41704,"Confectionery Sugar",2021,41350
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42008,"Other Processed Fruits and Nuts",2021,1123
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42009,"Fruit Juice",2021,8830
4,"Foodstuffs",421,"Miscellaneous edible preparations",42103,"Sauces and Seasonings",2021,6
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",2021,2
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42204,"Wine",2021,59.00000000000001
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42208,"Hard Liquor",2021,1347
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52501,"Salt",2021,685
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52520,"Gypsum",2021,6
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52713,"Petroleum Coke",2021,32332
6,"Chemical Products",628,"Inorganic chemicals",62811,"Other Inorganic Acids",2021,3430
6,"Chemical Products",628,"Inorganic chemicals",62843,"Precious Metal Compounds",2021,128
6,"Chemical Products",629,"Organic chemicals",62922,"Oxygen Amino Compounds",2021,162037
6,"Chemical Products",629,"Organic chemicals",62931,"Other Organo-Inorganic Compounds",2021,712.0000000000001
6,"Chemical Products",629,"Organic chemicals",62932,"Oxygen Heterocyclic Compounds",2021,66
6,"Chemical Products",629,"Organic chemicals",62936,"Vitamins",2021,31295
6,"Chemical Products",629,"Organic chemicals",62937,"Hormones",2021,128
6,"Chemical Products",630,"Pharmaceutical products",63001,"Glands and Other Organs",2021,213
6,"Chemical Products",630,"Pharmaceutical products",63002,"Vaccines, blood, antisera, toxins and cultures",2021,1471483
6,"Chemical Products",630,"Pharmaceutical products",63005,"Bandages",2021,9034
6,"Chemical Products",633,"Perfumery & cosmetics",63301,"Essential Oils",2021,271
6,"Chemical Products",633,"Perfumery & cosmetics",63304,"Beauty Products",2021,636
6,"Chemical Products",633,"Perfumery & cosmetics",63306,"Dental Products",2021,189601
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63403,"Lubricating Products",2021,1220.9999999999998
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63406,"Candles",2021,2301
6,"Chemical Products",637,"Photo & movie goods",63705,"Developed Exposed Photographic Material",2021,820
6,"Chemical Products",638,"Chemical products n.e.s.",63808,"Pesticides",2021,4775
6,"Chemical Products",638,"Chemical products n.e.s.",63821,"Micro-Organism Culture Preparations",2021,11.000000000000002
6,"Chemical Products",638,"Chemical products n.e.s.",63822,"Laboratory Reagents",2021,32721
6,"Chemical Products",638,"Chemical products n.e.s.",63823,"Industrial Fatty Acids, Oils and Alcohols",2021,3798
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73907,"Polyacetals",2021,303
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73915,"Scrap Plastic",2021,235968
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73917,"Plastic Pipes",2021,19690
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73919,"Self-adhesive Plastics",2021,977
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73920,"Raw Plastic Sheeting",2021,4313
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73922,"Plastic Wash Basins",2021,20
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73923,"Plastic Lids",2021,3123
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73924,"Plastic Housewares",2021,50797
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73925,"Plastic Building Materials",2021,25602
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73926,"Other Plastic Products",2021,26144.000000000004
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74010,"Rubber Belting",2021,1613
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74011,"Rubber Tires",2021,5313
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74013,"Rubber Inner Tubes",2021,1865.9999999999998
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74015,"Rubber Apparel",2021,298598
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74016,"Other Rubber Products",2021,1621
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74017,"Hard Rubber",2021,2
8,"Animal Hides",842,"Leather articles",84202,"Trunks and Cases",2021,4696
9,"Wood Products",944,"Wood, wood articles, & charcoal",94420,"Wood Ornaments",2021,6217.000000000001
9,"Wood Products",944,"Wood, wood articles, & charcoal",94421,"Other Wood Articles",2021,3492
10,"Paper Goods",1047,"Wood pulp & paper scrap",104705,"Semi chemical Woodpulp",2021,207993
