Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,118.00000000000001
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,1849
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,175
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,116880
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,3853.9999999999995
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,18.000000000000004
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,1885
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,205
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,13785
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,1022
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,94
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,5183.000000000001
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,2697
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,3571.0000000000005
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,6882.999999999999
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,48330
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,5407.999999999999
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,2403
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,188035
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,22329
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,552.9999999999999
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,23255.000000000004
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20809,"Pitted Fruits",2021,1259
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,4206
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,107
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,418963
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,2903
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,182
2,"Vegetable Products",211,"Products of the milling industry",21101,"Wheat Flours",2021,21
2,"Vegetable Products",211,"Products of the milling industry",21102,"Cereal Flours",2021,17
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21201,"Soybeans",2021,68820
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21202,"Ground Nuts",2021,766714
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21207,"Other Oily Seeds",2021,69484
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21209,"Sowing Seeds",2021,18426
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",2021,5754
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21401,"Vegetable Plaiting Materials",2021,1436.9999999999998
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31508,"Ground Nut Oil",2021,1615.9999999999998
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31509,"Pure Olive Oil",2021,5282.999999999999
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31511,"Palm Oil",2021,18581
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31513,"Coconut Oil",2021,1077
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31515,"Other Pure Vegetable Oils",2021,23729
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31521,"Vegetable waxes and beeswax",2021,414500.99999999994
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41801,"Cocoa Beans",2021,3826
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41802,"Cocoa Shells",2021,5
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41806,"Chocolate",2021,4715
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41905,"Baked Goods",2021,1
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42005,"Other Processed Vegetables",2021,187
4,"Foodstuffs",421,"Miscellaneous edible preparations",42103,"Sauces and Seasonings",2021,98904
4,"Foodstuffs",421,"Miscellaneous edible preparations",42104,"Soups and Broths",2021,2094
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",2021,2318
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42201,"Water",2021,1940
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42203,"Beer",2021,952
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42204,"Wine",2021,1045
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42208,"Hard Liquor",2021,860547
4,"Foodstuffs",424,"Tobacco & substitutes",42402,"Rolled Tobacco",2021,143
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52517,"Gravel and Crushed Stone",2021,1189
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52523,"Cement",2021,180
5,"Mineral Products",526,"Ores, slag and ash",52610,"Chromium Ore",2021,9825
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",2021,4669539
6,"Chemical Products",630,"Pharmaceutical products",63002,"Vaccines, blood, antisera, toxins and cultures",2021,41889
6,"Chemical Products",630,"Pharmaceutical products",63004,"Packaged Medicaments",2021,59454
6,"Chemical Products",631,"Fertilizers",63105,"Mixed Mineral or Chemical Fertilizers",2021,83473
6,"Chemical Products",632,"Paints, dyes, & varnishes",63201,"Vegetable Tanning Extracts",2021,17814
6,"Chemical Products",632,"Paints, dyes, & varnishes",63203,"Vegetable or Animal Dyes",2021,6912.999999999999
6,"Chemical Products",632,"Paints, dyes, & varnishes",63206,"Other Coloring Matter",2021,67533.99999999999
6,"Chemical Products",632,"Paints, dyes, & varnishes",63208,"Nonaqueous Paints",2021,195
6,"Chemical Products",632,"Paints, dyes, & varnishes",63209,"Aqueous Paints",2021,171
6,"Chemical Products",632,"Paints, dyes, & varnishes",63210,"Other Paints",2021,6847
6,"Chemical Products",632,"Paints, dyes, & varnishes",63214,"Glaziers Putty",2021,8808
