Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,3187
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,149
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,57051
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,672
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,37074
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,38537
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,290543
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,232756
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,3477017
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,285366
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,553.9999999999999
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,3432500
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,820226.0000000001
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,49222
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,12124.000000000002
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,23887
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,1127
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,2659.9999999999995
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,27135
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,3774.9999999999995
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,53
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,2457
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,6145
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,27.000000000000004
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,3537
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,140
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,677
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,141511
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,6977
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,354974
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,30559.999999999996
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,6765.999999999999
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,1279
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,12218
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,29570
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,11722.000000000002
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,838.0000000000001
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,11402
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,1082
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,70
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20809,"Pitted Fruits",2021,7502
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,486532
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,373
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,79
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,13758892
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,777
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,25099.999999999996
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20908,"Nutmeg, mace and cardamons",2021,63.000000000000014
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,14077
2,"Vegetable Products",210,"Cereals",21004,"Oats",2021,2031.0000000000002
2,"Vegetable Products",210,"Cereals",21005,"Corn",2021,66
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,1835526.0000000002
2,"Vegetable Products",211,"Products of the milling industry",21101,"Wheat Flours",2021,711999.0000000001
2,"Vegetable Products",211,"Products of the milling industry",21102,"Cereal Flours",2021,143634
2,"Vegetable Products",211,"Products of the milling industry",21103,"Cereal Meal and Pellets",2021,1000784
2,"Vegetable Products",211,"Products of the milling industry",21105,"Potato Flours",2021,28.999999999999996
2,"Vegetable Products",211,"Products of the milling industry",21106,"Legume Flours",2021,40598
2,"Vegetable Products",211,"Products of the milling industry",21108,"Starches",2021,3123
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21201,"Soybeans",2021,5358
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21202,"Ground Nuts",2021,35191
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21204,"Linseed",2021,72.00000000000001
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21207,"Other Oily Seeds",2021,88493
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21208,"Oil Seed Flower",2021,85
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21209,"Sowing Seeds",2021,13209
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",2021,4039047
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21301,"Insect Resins",2021,1415520
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21302,"Vegetable Saps",2021,730718
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21401,"Vegetable Plaiting Materials",2021,173384
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21404,"Other Vegetable Products",2021,53
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31507,"Soybean Oil",2021,11.000000000000002
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31508,"Ground Nut Oil",2021,992
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31511,"Palm Oil",2021,18029
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31512,"Seed Oils",2021,107127.99999999999
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31515,"Other Pure Vegetable Oils",2021,6147.999999999999
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31517,"Margarine",2021,485
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31519,"Stearic Acid",2021,1023
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41601,"Sausages",2021,2125
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41602,"Other Prepared Meat",2021,61074
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41604,"Processed Fish",2021,2010
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41605,"Processed Crustaceans",2021,462
4,"Foodstuffs",417,"Sugars & confectioneries",41701,"Raw Sugar",2021,6587312
4,"Foodstuffs",417,"Sugars & confectioneries",41702,"Other Sugars",2021,45883
4,"Foodstuffs",417,"Sugars & confectioneries",41703,"Molasses",2021,62
4,"Foodstuffs",417,"Sugars & confectioneries",41704,"Confectionery Sugar",2021,4362
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41801,"Cocoa Beans",2021,41936224
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41804,"Cocoa Butter",2021,1197
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41805,"Cocoa Powder",2021,36205
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41806,"Chocolate",2021,13593
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41901,"Malt Extract",2021,19749
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41902,"Pasta",2021,8514
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41904,"Prepared Cereals",2021,18945
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41905,"Baked Goods",2021,26975
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42001,"Pickled Foods",2021,5921
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42004,"Other Frozen Vegetables",2021,713
