Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,66916
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,11758
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,9556969
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,876119
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,95340.00000000001
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,84103580
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,284305
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,20355
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,16
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,5148
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,21273410
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,4447
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,7361.000000000001
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,16534.000000000004
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,149931
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,8144
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,7660
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,7620
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,5725
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,5771
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,14669
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,543200
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,16115
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,79200
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,497.00000000000006
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,981.0000000000001
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,52.00000000000001
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,91
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,1829
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,279240
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,14482
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,4683
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,124
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20812,"Preserved Fruits and Nuts",2021,23752
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,58505.99999999999
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,6752350
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,11644
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,130795
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,7808
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,11185
2,"Vegetable Products",211,"Products of the milling industry",21101,"Wheat Flours",2021,15300
2,"Vegetable Products",211,"Products of the milling industry",21102,"Cereal Flours",2021,27.999999999999996
2,"Vegetable Products",211,"Products of the milling industry",21103,"Cereal Meal and Pellets",2021,12190
2,"Vegetable Products",211,"Products of the milling industry",21104,"Processed Cereals",2021,57.99999999999999
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",2021,13287
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21212,"Locust beans, seaweed, sugar beet, cane, for food",2021,2479
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21301,"Insect Resins",2021,22281
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21302,"Vegetable Saps",2021,10
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21404,"Other Vegetable Products",2021,20986
