Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,24
2,"Vegetable Products",211,"Products of the milling industry",21101,"Wheat Flours",2021,8781
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21301,"Insect Resins",2021,37.00000000000001
4,"Foodstuffs",417,"Sugars & confectioneries",41701,"Raw Sugar",2021,27.000000000000004
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41806,"Chocolate",2021,22870
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",2021,1058
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42201,"Water",2021,40.99999999999999
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42204,"Wine",2021,5888.999999999999
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42208,"Hard Liquor",2021,300
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52510,"Calcium Phosphates",2021,5584018
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",2021,27.999999999999996
6,"Chemical Products",628,"Inorganic chemicals",62833,"Sulfates",2021,428125
6,"Chemical Products",629,"Organic chemicals",62909,"Ethers",2021,8331
6,"Chemical Products",629,"Organic chemicals",62921,"Amine Compounds",2021,140937
6,"Chemical Products",631,"Fertilizers",63103,"Phosphatic Fertilizers",2021,1829741
6,"Chemical Products",632,"Paints, dyes, & varnishes",63206,"Other Coloring Matter",2021,2438
6,"Chemical Products",633,"Perfumery & cosmetics",63304,"Beauty Products",2021,57
6,"Chemical Products",633,"Perfumery & cosmetics",63305,"Hair Products",2021,60
6,"Chemical Products",633,"Perfumery & cosmetics",63306,"Dental Products",2021,164
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63402,"Cleaning Products",2021,728
6,"Chemical Products",635,"Glues, starches, & albuminoid products",63506,"Glues",2021,65
6,"Chemical Products",638,"Chemical products n.e.s.",63801,"Artificial Graphite",2021,6
6,"Chemical Products",638,"Chemical products n.e.s.",63808,"Pesticides",2021,148000
6,"Chemical Products",638,"Chemical products n.e.s.",63823,"Industrial Fatty Acids, Oils and Alcohols",2021,10
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73917,"Plastic Pipes",2021,5267
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73918,"Plastic Floor Coverings",2021,8745
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73921,"Other Plastic Sheetings",2021,4003
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73923,"Plastic Lids",2021,15
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73924,"Plastic Housewares",2021,7765
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73926,"Other Plastic Products",2021,8442
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74009,"Rubber Pipes",2021,942.9999999999999
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74011,"Rubber Tires",2021,126
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74016,"Other Rubber Products",2021,671
8,"Animal Hides",842,"Leather articles",84202,"Trunks and Cases",2021,16198
8,"Animal Hides",842,"Leather articles",84203,"Leather Apparel",2021,45
9,"Wood Products",944,"Wood, wood articles, & charcoal",94410,"Particle Board",2021,6504
9,"Wood Products",944,"Wood, wood articles, & charcoal",94412,"Plywood",2021,16195
9,"Wood Products",946,"Straw & esparto manufactures",94602,"Basketwork",2021,32758.000000000004
10,"Paper Goods",1047,"Wood pulp & paper scrap",104703,"Sulfate Chemical Woodpulp",2021,56299
10,"Paper Goods",1048,"Paper articles",104808,"Corrugated Paper",2021,2634
10,"Paper Goods",1048,"Paper articles",104818,"Toilet Paper",2021,181695
10,"Paper Goods",1048,"Paper articles",104819,"Paper Containers",2021,93.00000000000001
10,"Paper Goods",1048,"Paper articles",104820,"Paper Notebooks",2021,47
10,"Paper Goods",1048,"Paper articles",104821,"Paper Labels",2021,446
10,"Paper Goods",1049,"Books, newspapers, & other prints",104901,"Brochures",2021,12327.000000000002
10,"Paper Goods",1049,"Books, newspapers, & other prints",104908,"Decals",2021,1
10,"Paper Goods",1049,"Books, newspapers, & other prints",104911,"Other Printed Material",2021,96.99999999999999
11,"Textiles",1155,"Man-made staple fibres",115515,"Other Synthetic Fabrics",2021,258
11,"Textiles",1156,"Wadding, felt, nonwovens, twin, ropes, & articles thereof",115603,"Non-woven Textiles",2021,38565
11,"Textiles",1157,"Carpets & textile floor covers",115705,"Other Carpets",2021,400
11,"Textiles",1159,"Coated, covered, & laminated fabrics for industrial use",115903,"Plastic Coated Textile Fabric",2021,1422
11,"Textiles",1160,"Knitted fabrics",116002,"Light Rubberized Knitted Fabric",2021,70
11,"Textiles",1161,"Knitted clothing accesories",116104,"Knit Women's Suits",2021,40766
11,"Textiles",1161,"Knitted clothing accesories",116109,"Knit T-shirts",2021,114216
11,"Textiles",1161,"Knitted clothing accesories",116110,"Knit Sweaters",2021,257471
11,"Textiles",1161,"Knitted clothing accesories",116111,"Knit Babies' Garments",2021,259
11,"Textiles",1161,"Knitted clothing accesories",116115,"Knit Socks and Hosiery",2021,12
11,"Textiles",1161,"Knitted clothing accesories",116116,"Knit Gloves",2021,5078.000000000001
11,"Textiles",1162,"Non-knitted clothing accesories",116201,"Non-Knit Men's Coats",2021,5449
11,"Textiles",1162,"Non-knitted clothing accesories",116202,"Non-Knit Women's Coats",2021,83
11,"Textiles",1162,"Non-knitted clothing accesories",116203,"Non-Knit Men's Suits",2021,497
11,"Textiles",1162,"Non-knitted clothing accesories",116204,"Non-Knit Women's Suits",2021,1369
11,"Textiles",1162,"Non-knitted clothing accesories",116205,"Non-Knit Men's Shirts",2021,67
11,"Textiles",1162,"Non-knitted clothing accesories",116206,"Non-Knit Women's Shirts",2021,976.0000000000001
11,"Textiles",1162,"Non-knitted clothing accesories",116210,"Felt or Coated Fabric Garments",2021,15
11,"Textiles",1162,"Non-knitted clothing accesories",116211,"Non-Knit Active Wear",2021,566
11,"Textiles",1163,"Used clothes & textile articles",116303,"Window Dressings",2021,1153
11,"Textiles",1163,"Used clothes & textile articles",116304,"Bedspreads",2021,130
11,"Textiles",1163,"Used clothes & textile articles",116307,"Other Cloth Articles",2021,43
12,"Footwear and Headwear",1264,"Footwear",126402,"Rubber Footwear",2021,16298
12,"Footwear and Headwear",1264,"Footwear",126403,"Leather Footwear",2021,221531
12,"Footwear and Headwear",1264,"Footwear",126404,"Textile Footwear",2021,46753
12,"Footwear and Headwear",1264,"Footwear",126406,"Footwear Parts",2021,123.00000000000001
12,"Footwear and Headwear",1265,"Headgear",126501,"Hat Forms",2021,857
12,"Footwear and Headwear",1265,"Headgear",126505,"Knitted Hats",2021,117
12,"Footwear and Headwear",1265,"Headgear",126506,"Other Headwear",2021,23
12,"Footwear and Headwear",1266,"Umbrellas, walking sticks, & whips",126601,"Umbrellas",2021,64
13,"Stone And Glass",1368,"Stone, plaster, cement, asbestos, mica.",136813,"Friction Material",2021,15
13,"Stone And Glass",1369,"Ceramic products",136910,"Bathroom Ceramics",2021,166.99999999999997
13,"Stone And Glass",1369,"Ceramic products",136914,"Other Ceramic Articles",2021,182
13,"Stone And Glass",1370,"Glass & glassware",137007,"Safety Glass",2021,610
13,"Stone And Glass",1370,"Glass & glassware",137013,"Interior Decorative Glassware",2021,21262.000000000004
13,"Stone And Glass",1370,"Glass & glassware",137019,"Glass Fibers",2021,22405
13,"Stone And Glass",1370,"Glass & glassware",137020,"Other Glass Articles",2021,19
14,"Precious Metals",1471,"Precious stones, metals, & pearls",147105,"Precious Stone Dust",2021,2245
14,"Precious Metals",1471,"Precious stones, metals, & pearls",147117,"Imitation Jewellery",2021,16685
15,"Metals",1572,"Iron & steel",157225,"Flat Flat-Rolled Steel",2021,227650.99999999997
15,"Metals",1573,"Iron/Steel Articles",157307,"Iron Pipe Fittings",2021,9945
15,"Metals",1573,"Iron/Steel Articles",157311,"Iron Gas Containers",2021,86963
15,"Metals",1573,"Iron/Steel Articles",157315,"Iron Chains",2021,41.99999999999999
15,"Metals",1573,"Iron/Steel Articles",157318,"Iron Fasteners",2021,7597
15,"Metals",1573,"Iron/Steel Articles",157320,"Iron Springs",2021,119
15,"Metals",1573,"Iron/Steel Articles",157323,"Iron Housewares",2021,304
15,"Metals",1573,"Iron/Steel Articles",157325,"Other Cast Iron Products",2021,2853.9999999999995
15,"Metals",1573,"Iron/Steel Articles",157326,"Other Iron Products",2021,3043
15,"Metals",1574,"Copper articles",157419,"Other Copper Products",2021,145
15,"Metals",1576,"Aluminum articles",157601,"Raw Aluminium",2021,350
15,"Metals",1576,"Aluminum articles",157604,"Aluminium Bars",2021,1139
15,"Metals",1576,"Aluminum articles",157606,"Aluminium Plating",2021,854.0000000000001
15,"Metals",1576,"Aluminum articles",157615,"Aluminium Housewares",2021,124
15,"Metals",1576,"Aluminum articles",157616,"Other Aluminium Products",2021,20148
15,"Metals",1582,"Tools & cutlery",158201,"Garden Tools",2021,45
15,"Metals",1582,"Tools & cutlery",158205,"Other Hand Tools",2021,90
15,"Metals",1582,"Tools & cutlery",158207,"Interchangeable Tool Parts",2021,29645
15,"Metals",1583,"Miscellaneous metal products",158302,"Metal Mountings",2021,2196
15,"Metals",1583,"Miscellaneous metal products",158304,"Filing Cabinets",2021,103.00000000000001
15,"Metals",1583,"Miscellaneous metal products",158306,"Bells and Other Metal Ornaments",2021,74.00000000000001
16,"Machines",1684,"Machinery, mechanical appliances, & parts",168412,"Other Engines",2021,36.00000000000001
16,"Machines",1684,"Machinery, mechanical appliances, & parts",168413,"Liquid Pumps",2021,208388
16,"Machines",1684,"Machinery, mechanical appliances, & parts",168414,"Air Pumps",2021,92804
16,"Machines",1684,"Machinery, mechanical appliances, & parts",168419,"Other Heating Machinery",2021,14488
16,"Machines",1684,"Machinery, mechanical appliances, & parts",168421,"Centrifuges",2021,35008
16,"Machines",1684,"Machinery, mechanical appliances, & parts",168422,"Washing and Bottling Machines",2021,13435
16,"Machines",1684,"Machinery, mechanical appliances, & parts",168424,"Liquid Dispersing Machines",2021,3615
16,"Machines",1684,"Machinery, mechanical appliances, & parts",168428,"Lifting Machinery",2021,57541.00000000001
16,"Machines",1684,"Machinery, mechanical appliances, & parts",168431,"Excavation Machinery",2021,2337
16,"Machines",1684,"Machinery, mechanical appliances, & parts",168433,"Harvesting Machinery",2021,53
16,"Machines",1684,"Machinery, mechanical appliances, & parts",168443,"Industrial Printers",2021,1276.9999999999998
16,"Machines",1684,"Machinery, mechanical appliances, & parts",168450,"Household Washing Machines",2021,16
16,"Machines",1684,"Machinery, mechanical appliances, & parts",168467,"Motor-working Tools",2021,2838.9999999999995
16,"Machines",1684,"Machinery, mechanical appliances, & parts",168471,"Computers",2021,83837
16,"Machines",1684,"Machinery, mechanical appliances, & parts",168473,"Office Machine Parts",2021,34103
16,"Machines",1684,"Machinery, mechanical appliances, & parts",168474,"Stone Processing Machines",2021,3001.0000000000005
16,"Machines",1684,"Machinery, mechanical appliances, & parts",168477,"Rubberworking Machinery",2021,685
16,"Machines",1684,"Machinery, mechanical appliances, & parts",168479,"Machinery Having Individual Functions",2021,239528
16,"Machines",1684,"Machinery, mechanical appliances, & parts",168481,"Valves",2021,13886
16,"Machines",1684,"Machinery, mechanical appliances, & parts",168482,"Ball Bearings",2021,149
16,"Machines",1684,"Machinery, mechanical appliances, & parts",168483,"Transmissions",2021,3783.9999999999995
16,"Machines",1685,"Electrical machinery and electronics",168501,"Electric Motors",2021,1714.0000000000002
16,"Machines",1685,"Electrical machinery and electronics",168503,"Electric Motor Parts",2021,1371
16,"Machines",1685,"Electrical machinery and electronics",168504,"Electrical Transformers",2021,821516.0000000001
16,"Machines",1685,"Electrical machinery and electronics",168507,"Electric Batteries",2021,387
16,"Machines",1685,"Electrical machinery and electronics",168509,"Other Domestic Electric Housewares",2021,5067
16,"Machines",1685,"Electrical machinery and electronics",168511,"Electrical Ignitions",2021,149
16,"Machines",1685,"Electrical machinery and electronics",168512,"Electrical Lighting and Signalling Equipment",2021,313
16,"Machines",1685,"Electrical machinery and electronics",168515,"Electric Soldering Equipment",2021,23
16,"Machines",1685,"Electrical machinery and electronics",168516,"Electric Heaters",2021,370
16,"Machines",1685,"Electrical machinery and electronics",168517,"Telephones",2021,8
16,"Machines",1685,"Electrical machinery and electronics",168518,"Microphones and Headphones",2021,13326
16,"Machines",1685,"Electrical machinery and electronics",168521,"Video Recording Equipment",2021,899
16,"Machines",1685,"Electrical machinery and electronics",168523,"Blank Audio Media",2021,67
16,"Machines",1685,"Electrical machinery and electronics",168525,"Broadcasting Equipment",2021,214761
16,"Machines",1685,"Electrical machinery and electronics",168528,"Video Displays",2021,9592
16,"Machines",1685,"Electrical machinery and electronics",168529,"Broadcasting Accessories",2021,1905
16,"Machines",1685,"Electrical machinery and electronics",168531,"Audio Alarms",2021,284
16,"Machines",1685,"Electrical machinery and electronics",168532,"Electrical Capacitors",2021,120
16,"Machines",1685,"Electrical machinery and electronics",168533,"Electrical Resistors",2021,323
16,"Machines",1685,"Electrical machinery and electronics",168534,"Printed Circuit Boards",2021,3028
16,"Machines",1685,"Electrical machinery and electronics",168536,"Low-voltage Protection Equipment",2021,15513
16,"Machines",1685,"Electrical machinery and electronics",168538,"Electrical Power Accessories",2021,3194
16,"Machines",1685,"Electrical machinery and electronics",168541,"Semiconductor Devices",2021,865
16,"Machines",1685,"Electrical machinery and electronics",168542,"Integrated Circuits",2021,26098
16,"Machines",1685,"Electrical machinery and electronics",168543,"Other Electrical Machinery",2021,8020
16,"Machines",1685,"Electrical machinery and electronics",168544,"Insulated Wire",2021,27507
16,"Machines",1685,"Electrical machinery and electronics",168546,"Electrical Insulators",2021,215
17,"Transportation",1786,"Railway and trams",178609,"Railway Cargo Containers",2021,130073
17,"Transportation",1787,"Cars, tractors, trucks & parts thereof.",178703,"Cars",2021,2957
17,"Transportation",1787,"Cars, tractors, trucks & parts thereof.",178708,"Motor vehicles; parts and accessories (8701 to 8705)",2021,17966
17,"Transportation",1787,"Cars, tractors, trucks & parts thereof.",178709,"Work Trucks",2021,15
17,"Transportation",1787,"Cars, tractors, trucks & parts thereof.",178711,"Motorcycles and cycles",2021,432.00000000000006
17,"Transportation",1787,"Cars, tractors, trucks & parts thereof.",178714,"Bi-Wheel Vehicle Parts",2021,816
17,"Transportation",1787,"Cars, tractors, trucks & parts thereof.",178715,"Baby Carriages",2021,5177.000000000001
17,"Transportation",1787,"Cars, tractors, trucks & parts thereof.",178716,"Trailers and semi-trailers, not mechanically propelled vehicles",2021,48
17,"Transportation",1789,"Ships, boats, & floating structures",178903,"Recreational Boats",2021,14439
18,"Instruments",1890,"Optical, photo, & film equipment; medical instruments",189001,"Optical Fibers and optical fibre bundles",2021,11370
18,"Instruments",1890,"Optical, photo, & film equipment; medical instruments",189002,"Mirrors and Lenses",2021,13.999999999999998
18,"Instruments",1890,"Optical, photo, & film equipment; medical instruments",189006,"Cameras",2021,5585
18,"Instruments",1890,"Optical, photo, & film equipment; medical instruments",189010,"Photo Lab Equipment",2021,11140
18,"Instruments",1890,"Optical, photo, & film equipment; medical instruments",189011,"Microscopes",2021,1235
18,"Instruments",1890,"Optical, photo, & film equipment; medical instruments",189013,"LCDs",2021,129
18,"Instruments",1890,"Optical, photo, & film equipment; medical instruments",189014,"Compasses",2021,233
18,"Instruments",1890,"Optical, photo, & film equipment; medical instruments",189015,"Surveying Equipment",2021,1091
18,"Instruments",1890,"Optical, photo, & film equipment; medical instruments",189018,"Medical Instruments",2021,26971.000000000004
18,"Instruments",1890,"Optical, photo, & film equipment; medical instruments",189021,"Orthopedic Appliances",2021,506
18,"Instruments",1890,"Optical, photo, & film equipment; medical instruments",189026,"Gas and Liquid Flow Measuring Instruments",2021,1371713.0000000002
18,"Instruments",1890,"Optical, photo, & film equipment; medical instruments",189027,"Chemical Analysis Instruments",2021,3727
18,"Instruments",1890,"Optical, photo, & film equipment; medical instruments",189029,"Revolution Counters",2021,111
18,"Instruments",1890,"Optical, photo, & film equipment; medical instruments",189031,"Other Measuring Instruments",2021,1219
18,"Instruments",1890,"Optical, photo, & film equipment; medical instruments",189032,"Thermostats",2021,13549.000000000002
18,"Instruments",1890,"Optical, photo, & film equipment; medical instruments",189033,"Opto-Electric Instrument Parts",2021,25
18,"Instruments",1891,"Clocks, watches, & parts",189102,"Base Metal Watches",2021,733
18,"Instruments",1891,"Clocks, watches, & parts",189113,"Watch Straps",2021,492.00000000000006
18,"Instruments",1892,"Musical instruments",189207,"Electric Musical Instruments",2021,466
20,"Miscellaneous",2094,"Furniture, bedding, lamps, & prefab buildings",209401,"Seats",2021,17022
20,"Miscellaneous",2094,"Furniture, bedding, lamps, & prefab buildings",209403,"Other Furniture",2021,612
20,"Miscellaneous",2094,"Furniture, bedding, lamps, & prefab buildings",209404,"Mattresses",2021,23945
20,"Miscellaneous",2094,"Furniture, bedding, lamps, & prefab buildings",209405,"Light Fixtures",2021,3528
20,"Miscellaneous",2095,"Toys, games, & sports",209503,"Other toys",2021,4344
20,"Miscellaneous",2095,"Toys, games, & sports",209504,"Video and Card Games",2021,45915
20,"Miscellaneous",2095,"Toys, games, & sports",209505,"Party Decorations",2021,40.99999999999999
20,"Miscellaneous",2095,"Toys, games, & sports",209506,"Sports Equipment",2021,3785
20,"Miscellaneous",2095,"Toys, games, & sports",209507,"Fishing and Hunting Equipment",2021,107
20,"Miscellaneous",2096,"Misc. manufactures",209603,"Brooms",2021,171
20,"Miscellaneous",2096,"Misc. manufactures",209606,"Buttons",2021,23
20,"Miscellaneous",2096,"Misc. manufactures",209608,"Pens",2021,87
20,"Miscellaneous",2096,"Misc. manufactures",209617,"Vacuum Flask",2021,1753
