Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,60298
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,1698123
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,840944.9999999999
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,22.000000000000004
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,1644708
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,3435607.9999999995
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,448253
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,14410890
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,1367271
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,4244619
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,13144223
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,1145
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,671652
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,108968
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,1262814
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,34840410
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,1930788
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,6099228
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,729132
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,4203413
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,299192
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,5711147
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,3126579
