Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,355287639
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,336198735
1,"Animal Products",101,"Live animals",10103,"Pigs",2021,201175835
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,3749087
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,594717299
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,54543880
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,1171195151
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,258454113
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,3995929541
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,58235287
1,"Animal Products",102,"Meat & edible offal",10205,"Horse Meat",2021,2821990
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,463352336
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,1166172027
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,42739264
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,119566281
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,397911864
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,18871810
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,168889893
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,275080189
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,571546255
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,327454077
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,99128673
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,40278443
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,1503374518
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,1642959569
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,976843936
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,727053782
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,750374252
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,5294114389
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,364025383
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,72172129
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,151341246
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,6266643
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,3441611.0000000005
1,"Animal Products",105,"Animal originated products, n.e.s.",10502,"Pig Hair",2021,3749764
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,462747064
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,104599249
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,76810339.00000001
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,6859707
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,1147417
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",2021,5061062
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,336080897
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,99925685
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,1064171974
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,75358349
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,49903641
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,486148008
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,141547290
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,90271340
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,83409044
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,110224560
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,64360979
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,71395432
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,24259065
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,339677082
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,128096506
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,8739201
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,210881757
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,76975974
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,17810535
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,184481002
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,572146848
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,209409150
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,211513292
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,334070890
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,177920259
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,95011660
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,122398804
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20809,"Pitted Fruits",2021,132823351
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,312641578
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,179630318
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20812,"Preserved Fruits and Nuts",2021,7118190
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,230647093
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20814,"Citrus and Melon Peels",2021,4926890
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,2663361817
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,211308735
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20903,"Mate",2021,2819229
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,100925566
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20905,"Vanilla",2021,28695336
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20906,"Cinnamon",2021,12427894
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20907,"Cloves",2021,3313866
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20908,"Nutmeg, mace and cardamons",2021,15429810
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20909,"Spice Seeds",2021,26407787
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,184148016
2,"Vegetable Products",210,"Cereals",21001,"Wheat",2021,2206682070
