Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,17238603
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,9293743
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,1545
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,72744
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,347058
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,120145
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,583834.0000000001
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,31755.999999999996
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,849405
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,291482
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,13440199
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,22856
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,495812
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,310
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,2106166
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,12376074
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,50816
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,3453.0000000000005
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,146976
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,124744
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,270
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,80
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,53
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,43552442
