Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,52464033
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,120050491
1,"Animal Products",101,"Live animals",10103,"Pigs",2021,922838612
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,56182
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,113610497
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,17330813
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,295226368
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,73651987
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,3296161513
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,4191396
1,"Animal Products",102,"Meat & edible offal",10205,"Horse Meat",2021,604141
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,488950293
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,249114735
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,4258183
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,32479562
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,219644791
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,43882974
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,1491913431
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,816279259
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,1018966585
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,360818241
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,486619449
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,52681992
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,502525607
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,328664445
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,27672852
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,169419081
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,302679327
