Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10103,"Pigs",2021,934
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,239
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,148.00000000000003
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,5346
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,3876.9999999999995
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,3765
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,5586
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,1
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,6329.999999999999
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,517
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,10911
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,78990
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,26171.999999999996
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,434
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,2194
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,66
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,432
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,2567
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,1554.9999999999998
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,33
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,109
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,95
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,113786
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,157
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,293447
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,43
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,285
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,203
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,960285
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,118766
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,226
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,897926
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,1421069
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,46871
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,42218
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20809,"Pitted Fruits",2021,8210
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,372920
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,1736.0000000000002
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20812,"Preserved Fruits and Nuts",2021,3446.9999999999995
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,46
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,56215
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,8186
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,22487
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20906,"Cinnamon",2021,52718
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20907,"Cloves",2021,2465.9999999999995
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20908,"Nutmeg, mace and cardamons",2021,2792
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,278880
2,"Vegetable Products",210,"Cereals",21004,"Oats",2021,43
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,7147
2,"Vegetable Products",211,"Products of the milling industry",21101,"Wheat Flours",2021,1405.0000000000002
2,"Vegetable Products",211,"Products of the milling industry",21103,"Cereal Meal and Pellets",2021,143278
2,"Vegetable Products",211,"Products of the milling industry",21104,"Processed Cereals",2021,290460.00000000006
2,"Vegetable Products",211,"Products of the milling industry",21106,"Legume Flours",2021,29612
2,"Vegetable Products",211,"Products of the milling industry",21108,"Starches",2021,859
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21202,"Ground Nuts",2021,238170
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21209,"Sowing Seeds",2021,37743
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",2021,610
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21301,"Insect Resins",2021,318
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21302,"Vegetable Saps",2021,4864
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31513,"Coconut Oil",2021,6244
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31515,"Other Pure Vegetable Oils",2021,13001
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31516,"Other Vegetable Oils",2021,2273
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31521,"Vegetable waxes and beeswax",2021,4443.000000000001
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41601,"Sausages",2021,20
