Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,79692
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,2077185
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,1037
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,95
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,1005873
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,28791.999999999996
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,920
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,63526
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,2
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,1738735
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,84374170
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,162887356
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,130692095
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,16194127
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,5255953032
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,3301017
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,332078
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,1809538
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,14031.999999999998
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,46773
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,310034
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,687
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,4150
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,29629
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,61
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,199662
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,542830
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",2021,306196
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,1992124
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,1399135
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,21165645
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,988699436
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,14568822
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,58142.00000000001
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,4241
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,1195841
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,85454.99999999999
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,8304
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,157975
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,352481
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,487843
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,3687873
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,171487999
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,192703
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,992399
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,9671389
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,5595578
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,10091
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,136439
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,4140930869
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,123027679
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,1287302
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,1730268
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,180207
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,116962
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20809,"Pitted Fruits",2021,97469
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,123657236
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,34341948
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20812,"Preserved Fruits and Nuts",2021,189005
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,1181445
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,18445006
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,1540043
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20903,"Mate",2021,1651340
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,8746718
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20905,"Vanilla",2021,42967
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20906,"Cinnamon",2021,143261
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20907,"Cloves",2021,8608
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20908,"Nutmeg, mace and cardamons",2021,184235
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20909,"Spice Seeds",2021,42356
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,1540654
2,"Vegetable Products",210,"Cereals",21001,"Wheat",2021,4
2,"Vegetable Products",210,"Cereals",21003,"Barley",2021,37574
2,"Vegetable Products",210,"Cereals",21004,"Oats",2021,8672
2,"Vegetable Products",210,"Cereals",21005,"Corn",2021,1428785
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,12394971
2,"Vegetable Products",210,"Cereals",21008,"Buckwheat",2021,3485429
2,"Vegetable Products",211,"Products of the milling industry",21101,"Wheat Flours",2021,272573
2,"Vegetable Products",211,"Products of the milling industry",21102,"Cereal Flours",2021,327711
2,"Vegetable Products",211,"Products of the milling industry",21103,"Cereal Meal and Pellets",2021,46756.00000000001
2,"Vegetable Products",211,"Products of the milling industry",21104,"Processed Cereals",2021,695343
2,"Vegetable Products",211,"Products of the milling industry",21105,"Potato Flours",2021,19550
2,"Vegetable Products",211,"Products of the milling industry",21106,"Legume Flours",2021,5949026
2,"Vegetable Products",211,"Products of the milling industry",21107,"Malt",2021,3
2,"Vegetable Products",211,"Products of the milling industry",21108,"Starches",2021,354600
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21201,"Soybeans",2021,38133
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21202,"Ground Nuts",2021,473763
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21204,"Linseed",2021,1817
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21205,"Rapeseed",2021,44.00000000000001
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21206,"Sunflower Seeds",2021,28005
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21207,"Other Oily Seeds",2021,432821
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21208,"Oil Seed Flower",2021,40490
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21209,"Sowing Seeds",2021,145637
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",2021,3280183
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21212,"Locust beans, seaweed, sugar beet, cane, for food",2021,98894
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21214,"Forage Crops",2021,85053
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21301,"Insect Resins",2021,125797
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21302,"Vegetable Saps",2021,1007746
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21401,"Vegetable Plaiting Materials",2021,1554916.0000000002
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21404,"Other Vegetable Products",2021,1336127
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31501,"Pig and Poultry Fat",2021,700
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31504,"Fish Oil",2021,10066848
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31506,"Other Animal Fats",2021,5
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31507,"Soybean Oil",2021,1892560
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31508,"Ground Nut Oil",2021,2816.0000000000005
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31509,"Pure Olive Oil",2021,43087
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31511,"Palm Oil",2021,141120734
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31512,"Seed Oils",2021,6970698.999999999
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31513,"Coconut Oil",2021,8805113
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31514,"Rapeseed Oil",2021,4
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31515,"Other Pure Vegetable Oils",2021,981627
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31516,"Other Vegetable Oils",2021,31687196
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31517,"Margarine",2021,12913975
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31518,"Inedible Fats and Oils",2021,1025847.9999999999
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31519,"Stearic Acid",2021,8792546
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31520,"Glycerol",2021,71626
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31521,"Vegetable waxes and beeswax",2021,50978
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41601,"Sausages",2021,501.99999999999994
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41602,"Other Prepared Meat",2021,7881
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41603,"Animal Extracts",2021,70
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41604,"Processed Fish",2021,1239937703
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41605,"Processed Crustaceans",2021,107934640
4,"Foodstuffs",417,"Sugars & confectioneries",41701,"Raw Sugar",2021,16459897
4,"Foodstuffs",417,"Sugars & confectioneries",41702,"Other Sugars",2021,107945
4,"Foodstuffs",417,"Sugars & confectioneries",41703,"Molasses",2021,7354
4,"Foodstuffs",417,"Sugars & confectioneries",41704,"Confectionery Sugar",2021,28976507
