Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,520
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,2336.9999999999995
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,32
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,32
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,67
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,157
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,96
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,8866
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,61111.99999999999
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,18073
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,14435
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,2129
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,1468.0000000000002
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,173.00000000000003
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,40.99999999999999
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,625
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,125
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",2021,33
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31515,"Other Pure Vegetable Oils",2021,34
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41605,"Processed Crustaceans",2021,186919.99999999997
4,"Foodstuffs",417,"Sugars & confectioneries",41704,"Confectionery Sugar",2021,25
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41904,"Prepared Cereals",2021,104.00000000000001
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41905,"Baked Goods",2021,633
4,"Foodstuffs",421,"Miscellaneous edible preparations",42103,"Sauces and Seasonings",2021,18397.000000000004
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",2021,87816
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42201,"Water",2021,2931
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42202,"Flavored Water",2021,180
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42203,"Beer",2021,239888
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42207,"Alcohol > 80% ABV",2021,53
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42208,"Hard Liquor",2021,214541
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52505,"Sand",2021,768
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52506,"Quartz",2021,5246
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52517,"Gravel and Crushed Stone",2021,7660
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52530,"Other Mineral",2021,16595
5,"Mineral Products",526,"Ores, slag and ash",52603,"Copper Ore",2021,213083111
5,"Mineral Products",526,"Ores, slag and ash",52608,"Zinc Ore",2021,280062198
5,"Mineral Products",526,"Ores, slag and ash",52617,"Other Ores",2021,2035.0000000000002
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",2021,24968
6,"Chemical Products",628,"Inorganic chemicals",62835,"Phosphinates (hypophosphites) and phosphonates (phosphites)",2021,18625.999999999996
6,"Chemical Products",629,"Organic chemicals",62934,"Nucleic Acids",2021,1
6,"Chemical Products",629,"Organic chemicals",62941,"Antibiotics",2021,769
6,"Chemical Products",630,"Pharmaceutical products",63001,"Glands and Other Organs",2021,331486.99999999994
6,"Chemical Products",630,"Pharmaceutical products",63002,"Vaccines, blood, antisera, toxins and cultures",2021,36910
6,"Chemical Products",630,"Pharmaceutical products",63003,"Unpackaged Medicaments",2021,39320
6,"Chemical Products",630,"Pharmaceutical products",63004,"Packaged Medicaments",2021,7709
6,"Chemical Products",631,"Fertilizers",63101,"Animal or Vegetable Fertilizers",2021,40714
6,"Chemical Products",632,"Paints, dyes, & varnishes",63215,"Ink",2021,7250
6,"Chemical Products",633,"Perfumery & cosmetics",63304,"Beauty Products",2021,19129
6,"Chemical Products",633,"Perfumery & cosmetics",63305,"Hair Products",2021,959
6,"Chemical Products",633,"Perfumery & cosmetics",63306,"Dental Products",2021,100
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63402,"Cleaning Products",2021,14070
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63403,"Lubricating Products",2021,2711
