Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,1129555
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,10785429
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,10520361
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,1196017
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,9950803
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,29797564
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,115695
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,99668375
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,2256879
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,38285
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,1774
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,225102
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,12802
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,76298
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,1129
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,658073
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,242
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,107
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,26.000000000000004
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,184003
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,85804
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,5158
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,583112
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,5
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,240920
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,114629
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,160858
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,15346
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,34
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",2021,676645
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,1750938
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,9365
