Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,932309.9999999999
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,89652.99999999999
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,17259292
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,839284
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,10811
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,301917366
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,20
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,708
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,201
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,120
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,21
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,18.000000000000004
2,"Vegetable Products",211,"Products of the milling industry",21108,"Starches",2021,9183
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",2021,262
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21301,"Insect Resins",2021,5624
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41604,"Processed Fish",2021,4773
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41605,"Processed Crustaceans",2021,55689
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",2021,31998
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42201,"Water",2021,3474
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42208,"Hard Liquor",2021,48
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52530,"Other Mineral",2021,7565
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",2021,16253
6,"Chemical Products",630,"Pharmaceutical products",63002,"Vaccines, blood, antisera, toxins and cultures",2021,3178.0000000000005
6,"Chemical Products",630,"Pharmaceutical products",63004,"Packaged Medicaments",2021,141168
6,"Chemical Products",632,"Paints, dyes, & varnishes",63208,"Nonaqueous Paints",2021,870.0000000000001
6,"Chemical Products",633,"Perfumery & cosmetics",63301,"Essential Oils",2021,154
6,"Chemical Products",633,"Perfumery & cosmetics",63302,"Scented Mixtures",2021,7113
6,"Chemical Products",633,"Perfumery & cosmetics",63304,"Beauty Products",2021,16626
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63403,"Lubricating Products",2021,3434
6,"Chemical Products",635,"Glues, starches, & albuminoid products",63506,"Glues",2021,115
6,"Chemical Products",638,"Chemical products n.e.s.",63822,"Laboratory Reagents",2021,152446
6,"Chemical Products",638,"Chemical products n.e.s.",63823,"Industrial Fatty Acids, Oils and Alcohols",2021,4962
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73906,"Acrylic Polymers",2021,13347.999999999998
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73915,"Scrap Plastic",2021,237
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73921,"Other Plastic Sheetings",2021,1248
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73923,"Plastic Lids",2021,2143.0000000000005
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73924,"Plastic Housewares",2021,195
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73926,"Other Plastic Products",2021,12267
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74009,"Rubber Pipes",2021,10
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74010,"Rubber Belting",2021,43
