Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,177831215
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,1487404866
1,"Animal Products",101,"Live animals",10103,"Pigs",2021,109223735
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,31077071
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,337157906
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,93877045
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,996435297
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,126599495
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,1157733171
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,172194555
1,"Animal Products",102,"Meat & edible offal",10205,"Horse Meat",2021,18383703
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,355616302
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,893991930
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,51583946
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,49120185
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,103775297
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,88357430
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,484411208
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,301684029
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,321272409
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,89551210
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,198310714
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,362319399
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,800439770
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,1319174202
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,616721729
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,638336389
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,654524656
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,3792455027
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,199849324
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,101439552
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,32820627
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,7181708
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,8609
1,"Animal Products",105,"Animal originated products, n.e.s.",10502,"Pig Hair",2021,37682
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,93624529
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,54055437
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,14268565.999999998
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,414318
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,3288795
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",2021,8244216
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,107584006
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,17670999
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,166661687
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,33344160
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,17644950
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,781821427
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,291752199
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,141347016
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,104700996
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,100224963
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,42770680
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,4951665
