Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,22828
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,15593
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,452
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,23307
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,310493
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,90
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,3022
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,213449
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,1067528
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,7824
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,1554994.9999999998
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,26515
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,436361
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,142
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,294714
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,964.9999999999999
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,3168.9999999999995
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,21056.999999999996
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,34164
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,1415
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,792
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,12957
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",2021,581
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,9357
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,66
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,678
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,2789
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,11204
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,3434
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,5048
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,7728
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,2124
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,23
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,80
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,14298
