Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,33514406
1,"Animal Products",101,"Live animals",10103,"Pigs",2021,252862
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,27430887
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,2994495
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,88660
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,800100
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,8886773
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,6491005
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,2577009
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,3098662.0000000005
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,11484291
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,850567.9999999999
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,629950
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,56963
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,552281
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,2160752
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,117543.99999999999
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,78030
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,5742.999999999999
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,2472
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,1561
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,3930328
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,857387
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,1245990
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,635691
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,184
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,21506
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,922987
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,20511
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,916044
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,467919
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,148754
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,2157904
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,17062369
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,3538839
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,596910
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,595519
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,68343
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,342074
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,952097
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,32510
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,5611971
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,98290
