Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,31508.000000000004
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,275
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,792
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,955165
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,44772
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,23267
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,237
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31512,"Seed Oils",2021,5050
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31518,"Inedible Fats and Oils",2021,189864
4,"Foodstuffs",417,"Sugars & confectioneries",41701,"Raw Sugar",2021,35
4,"Foodstuffs",417,"Sugars & confectioneries",41704,"Confectionery Sugar",2021,1029
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41806,"Chocolate",2021,61795
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41905,"Baked Goods",2021,8079.999999999999
4,"Foodstuffs",421,"Miscellaneous edible preparations",42103,"Sauces and Seasonings",2021,2101
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",2021,3552
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42201,"Water",2021,41
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42204,"Wine",2021,346610
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42206,"Other Fermented Beverages",2021,2952
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42208,"Hard Liquor",2021,441177
4,"Foodstuffs",424,"Tobacco & substitutes",42402,"Rolled Tobacco",2021,8029
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52501,"Salt",2021,229
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52517,"Gravel and Crushed Stone",2021,128388
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52520,"Gypsum",2021,358
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52530,"Other Mineral",2021,301
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52709,"Crude Petroleum",2021,11
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",2021,26878051
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52712,"Petroleum Jelly",2021,337
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52713,"Petroleum Coke",2021,18779
6,"Chemical Products",628,"Inorganic chemicals",62804,"Hydrogen",2021,597
6,"Chemical Products",628,"Inorganic chemicals",62806,"Hydrochloric Acid",2021,833
6,"Chemical Products",628,"Inorganic chemicals",62809,"Phosphoric Acid",2021,1419
6,"Chemical Products",628,"Inorganic chemicals",62815,"Sodium or Potassium Peroxides",2021,5405
6,"Chemical Products",628,"Inorganic chemicals",62828,"Hypochlorites",2021,1921
6,"Chemical Products",628,"Inorganic chemicals",62832,"Sulfites",2021,3707
6,"Chemical Products",629,"Organic chemicals",62915,"Saturated Acyclic Monocarboxylic Acids",2021,95
6,"Chemical Products",629,"Organic chemicals",62916,"Unsaturated Acyclic Monocarboxylic Acids",2021,67000
6,"Chemical Products",629,"Organic chemicals",62918,"Carboxylic Acids",2021,26473.000000000004
6,"Chemical Products",629,"Organic chemicals",62926,"Nitrile Compounds",2021,145000
6,"Chemical Products",630,"Pharmaceutical products",63002,"Vaccines, blood, antisera, toxins and cultures",2021,2268
6,"Chemical Products",630,"Pharmaceutical products",63004,"Packaged Medicaments",2021,1976.9999999999998
6,"Chemical Products",630,"Pharmaceutical products",63005,"Bandages",2021,1872
6,"Chemical Products",631,"Fertilizers",63102,"Nitrogenous Fertilizers",2021,8316
6,"Chemical Products",632,"Paints, dyes, & varnishes",63204,"Synthetic Coloring Matter",2021,3505
6,"Chemical Products",632,"Paints, dyes, & varnishes",63208,"Nonaqueous Paints",2021,30336.999999999996
6,"Chemical Products",632,"Paints, dyes, & varnishes",63209,"Aqueous Paints",2021,9476
6,"Chemical Products",632,"Paints, dyes, & varnishes",63215,"Ink",2021,530
6,"Chemical Products",633,"Perfumery & cosmetics",63301,"Essential Oils",2021,5896.000000000001
6,"Chemical Products",633,"Perfumery & cosmetics",63304,"Beauty Products",2021,3114
6,"Chemical Products",633,"Perfumery & cosmetics",63305,"Hair Products",2021,1079957
6,"Chemical Products",633,"Perfumery & cosmetics",63306,"Dental Products",2021,24046.999999999996
6,"Chemical Products",633,"Perfumery & cosmetics",63307,"Shaving Products",2021,15608
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63401,"Soap",2021,1083
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63402,"Cleaning Products",2021,1491
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63403,"Lubricating Products",2021,162
6,"Chemical Products",635,"Glues, starches, & albuminoid products",63506,"Glues",2021,583
6,"Chemical Products",636,"Explosives, matches, & fireworks",63604,"Fireworks",2021,76
6,"Chemical Products",637,"Photo & movie goods",63707,"Photographic Chemicals",2021,1810
6,"Chemical Products",638,"Chemical products n.e.s.",63808,"Pesticides",2021,172000
6,"Chemical Products",638,"Chemical products n.e.s.",63811,"Antiknock",2021,1518
6,"Chemical Products",638,"Chemical products n.e.s.",63814,"Organic Composite Solvents",2021,1850
6,"Chemical Products",638,"Chemical products n.e.s.",63819,"Hydraulic Brake Fluid",2021,1111
6,"Chemical Products",638,"Chemical products n.e.s.",63820,"Antifreeze",2021,22.000000000000004
6,"Chemical Products",638,"Chemical products n.e.s.",63822,"Laboratory Reagents",2021,46056
6,"Chemical Products",638,"Chemical products n.e.s.",63823,"Industrial Fatty Acids, Oils and Alcohols",2021,83397
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73902,"Propylene Polymers",2021,2320
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73909,"Amino-resins",2021,4346.999999999999
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73915,"Scrap Plastic",2021,6727
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73916,"Monofilament",2021,402
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73917,"Plastic Pipes",2021,50069
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73918,"Plastic Floor Coverings",2021,1524
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73919,"Self-adhesive Plastics",2021,308
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73920,"Raw Plastic Sheeting",2021,27963
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73921,"Other Plastic Sheetings",2021,723
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73923,"Plastic Lids",2021,15871
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73924,"Plastic Housewares",2021,1434
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73925,"Plastic Building Materials",2021,4697
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73926,"Other Plastic Products",2021,63309
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74002,"Synthetic Rubber",2021,90223
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74003,"Reclaimed Rubber",2021,639
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74004,"Scrap Rubber",2021,17031
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74009,"Rubber Pipes",2021,4796
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74010,"Rubber Belting",2021,1873
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74011,"Rubber Tires",2021,14099
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74012,"Used Rubber Tires",2021,13081
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74013,"Rubber Inner Tubes",2021,106
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74015,"Rubber Apparel",2021,485
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74016,"Other Rubber Products",2021,34608
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74017,"Hard Rubber",2021,203
8,"Animal Hides",842,"Leather articles",84201,"Saddlery",2021,83
8,"Animal Hides",842,"Leather articles",84202,"Trunks and Cases",2021,2647
8,"Animal Hides",842,"Leather articles",84203,"Leather Apparel",2021,71
9,"Wood Products",944,"Wood, wood articles, & charcoal",94407,"Sawn Wood",2021,30000
9,"Wood Products",944,"Wood, wood articles, & charcoal",94414,"Wood Frames",2021,17
9,"Wood Products",944,"Wood, wood articles, & charcoal",94415,"Wood Crates",2021,205538.00000000003
9,"Wood Products",944,"Wood, wood articles, & charcoal",94418,"Wood Carpentry",2021,38663
9,"Wood Products",944,"Wood, wood articles, & charcoal",94421,"Other Wood Articles",2021,1315.9999999999998
9,"Wood Products",946,"Straw & esparto manufactures",94601,"Plaiting Products",2021,348
9,"Wood Products",946,"Straw & esparto manufactures",94602,"Basketwork",2021,234
10,"Paper Goods",1047,"Wood pulp & paper scrap",104707,"Recovered Paper",2021,45413.00000000001
10,"Paper Goods",1048,"Paper articles",104808,"Corrugated Paper",2021,6818
10,"Paper Goods",1048,"Paper articles",104811,"Cellulose Fibers Paper",2021,13.999999999999998
10,"Paper Goods",1048,"Paper articles",104817,"Letter Stock",2021,1705
10,"Paper Goods",1048,"Paper articles",104818,"Toilet Paper",2021,43331
10,"Paper Goods",1048,"Paper articles",104819,"Paper Containers",2021,5469
10,"Paper Goods",1048,"Paper articles",104820,"Paper Notebooks",2021,270
10,"Paper Goods",1048,"Paper articles",104821,"Paper Labels",2021,27.999999999999996
10,"Paper Goods",1048,"Paper articles",104823,"Shaped Paper",2021,826
10,"Paper Goods",1049,"Books, newspapers, & other prints",104901,"Brochures",2021,24012
