Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,29834
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,49106
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,1
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,6397833
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,522377625
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,102222012
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,27964258
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,517925102
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,76622
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,537
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,16549
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,1797791
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,8
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,49
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,207
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31504,"Fish Oil",2021,349160
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31517,"Margarine",2021,194662.99999999997
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31518,"Inedible Fats and Oils",2021,8907
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41604,"Processed Fish",2021,445559
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41605,"Processed Crustaceans",2021,203561857.99999997
4,"Foodstuffs",417,"Sugars & confectioneries",41704,"Confectionery Sugar",2021,1546
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41904,"Prepared Cereals",2021,4660
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42008,"Other Processed Fruits and Nuts",2021,4105
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42009,"Fruit Juice",2021,2932
4,"Foodstuffs",421,"Miscellaneous edible preparations",42105,"Ice Cream",2021,430635.99999999994
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",2021,1280
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42201,"Water",2021,62672
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42202,"Flavored Water",2021,111
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42203,"Beer",2021,14907
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42204,"Wine",2021,178.00000000000003
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42207,"Alcohol > 80% ABV",2021,4939
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42208,"Hard Liquor",2021,185
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52501,"Salt",2021,17640
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52505,"Sand",2021,1941
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52517,"Gravel and Crushed Stone",2021,642
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52519,"Magnesium Carbonate",2021,794
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52522,"Quicklime",2021,24
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52529,"Feldspar",2021,17601
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52530,"Other Mineral",2021,84459
5,"Mineral Products",526,"Ores, slag and ash",52621,"Other Slag and Ash",2021,159
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52707,"Coal Tar Oil",2021,48
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",2021,248404
6,"Chemical Products",628,"Inorganic chemicals",62804,"Hydrogen",2021,2223
6,"Chemical Products",629,"Organic chemicals",62936,"Vitamins",2021,1979
6,"Chemical Products",630,"Pharmaceutical products",63002,"Vaccines, blood, antisera, toxins and cultures",2021,5838.999999999999
6,"Chemical Products",630,"Pharmaceutical products",63005,"Bandages",2021,332.99999999999994
6,"Chemical Products",630,"Pharmaceutical products",63006,"Special Pharmaceuticals",2021,1632
6,"Chemical Products",632,"Paints, dyes, & varnishes",63209,"Aqueous Paints",2021,841
6,"Chemical Products",632,"Paints, dyes, & varnishes",63210,"Other Paints",2021,16
6,"Chemical Products",632,"Paints, dyes, & varnishes",63214,"Glaziers Putty",2021,159
6,"Chemical Products",632,"Paints, dyes, & varnishes",63215,"Ink",2021,949
6,"Chemical Products",633,"Perfumery & cosmetics",63301,"Essential Oils",2021,3000
6,"Chemical Products",633,"Perfumery & cosmetics",63303,"Perfumes",2021,5455.999999999999
6,"Chemical Products",633,"Perfumery & cosmetics",63304,"Beauty Products",2021,49888
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63402,"Cleaning Products",2021,183677
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63405,"Polishes and Creams",2021,1919
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63406,"Candles",2021,307
6,"Chemical Products",635,"Glues, starches, & albuminoid products",63506,"Glues",2021,16355.999999999998
6,"Chemical Products",637,"Photo & movie goods",63707,"Photographic Chemicals",2021,318
6,"Chemical Products",638,"Chemical products n.e.s.",63808,"Pesticides",2021,16770
6,"Chemical Products",638,"Chemical products n.e.s.",63810,"Metal Pickling Preparations",2021,6649
6,"Chemical Products",638,"Chemical products n.e.s.",63820,"Antifreeze",2021,2
6,"Chemical Products",638,"Chemical products n.e.s.",63821,"Micro-Organism Culture Preparations",2021,210
6,"Chemical Products",638,"Chemical products n.e.s.",63822,"Laboratory Reagents",2021,16
6,"Chemical Products",638,"Chemical products n.e.s.",63823,"Industrial Fatty Acids, Oils and Alcohols",2021,23840
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73901,"Ethylene Polymers",2021,3976.0000000000005
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73908,"Polyamides",2021,7605
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73915,"Scrap Plastic",2021,5690
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73917,"Plastic Pipes",2021,3987
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73918,"Plastic Floor Coverings",2021,795
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73919,"Self-adhesive Plastics",2021,6468
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73920,"Raw Plastic Sheeting",2021,2465
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73921,"Other Plastic Sheetings",2021,12
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73923,"Plastic Lids",2021,6274
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73924,"Plastic Housewares",2021,13432
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73926,"Other Plastic Products",2021,68376
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74008,"Rubber Sheets",2021,1250
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74009,"Rubber Pipes",2021,313
