Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,2641
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,15731
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,72.00000000000001
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,54.00000000000001
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,30200
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,216.00000000000003
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,223
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,2737
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,2984
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,231503
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,3263
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,10956
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,1016
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,3824
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,100
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,1519.0000000000002
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,1281
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,280015.00000000006
2,"Vegetable Products",211,"Products of the milling industry",21101,"Wheat Flours",2021,728
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",2021,239
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31508,"Ground Nut Oil",2021,19549
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31510,"Olive Oil",2021,649
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31511,"Palm Oil",2021,2018
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31512,"Seed Oils",2021,24240
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31515,"Other Pure Vegetable Oils",2021,4965
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31516,"Other Vegetable Oils",2021,39635.99999999999
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31517,"Margarine",2021,4626
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41601,"Sausages",2021,14338
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41602,"Other Prepared Meat",2021,800
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41604,"Processed Fish",2021,165654
4,"Foodstuffs",417,"Sugars & confectioneries",41701,"Raw Sugar",2021,289
4,"Foodstuffs",417,"Sugars & confectioneries",41704,"Confectionery Sugar",2021,111980
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41801,"Cocoa Beans",2021,1479334.0000000002
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41806,"Chocolate",2021,9086
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41901,"Malt Extract",2021,3930
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41902,"Pasta",2021,22960
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41905,"Baked Goods",2021,10284
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42002,"Processed Tomatoes",2021,914
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42008,"Other Processed Fruits and Nuts",2021,1221
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42009,"Fruit Juice",2021,4615
4,"Foodstuffs",421,"Miscellaneous edible preparations",42103,"Sauces and Seasonings",2021,25057
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",2021,1069
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42201,"Water",2021,1848
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42202,"Flavored Water",2021,214403
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42203,"Beer",2021,855927
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42204,"Wine",2021,71875
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42207,"Alcohol > 80% ABV",2021,2025
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42208,"Hard Liquor",2021,42692
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42309,"Animal Food",2021,162
4,"Foodstuffs",424,"Tobacco & substitutes",42402,"Rolled Tobacco",2021,1838
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52501,"Salt",2021,327
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52505,"Sand",2021,1886.9999999999998
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52512,"Siliceous Fossil Meals",2021,23
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52530,"Other Mineral",2021,917
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52709,"Crude Petroleum",2021,3181008189
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",2021,82448
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52711,"Petroleum Gas",2021,1544114955
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52713,"Petroleum Coke",2021,61309.99999999999
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52714,"Bitumen and asphalt",2021,409
6,"Chemical Products",628,"Inorganic chemicals",62804,"Hydrogen",2021,3542
6,"Chemical Products",628,"Inorganic chemicals",62828,"Hypochlorites",2021,765.9999999999999
6,"Chemical Products",628,"Inorganic chemicals",62840,"Borates",2021,2106.9999999999995
6,"Chemical Products",628,"Inorganic chemicals",62844,"Radioactive Chemicals",2021,4763.999999999999
6,"Chemical Products",628,"Inorganic chemicals",62847,"Hydrogen peroxide",2021,223.99999999999997
6,"Chemical Products",629,"Organic chemicals",62905,"Acyclic alcohol derivatives (halogenated, sulphonated, nitrated)",2021,385779120
6,"Chemical Products",629,"Organic chemicals",62912,"Aldehydes, cyclic polymers, and paraformaldehyde",2021,3398.9999999999995
6,"Chemical Products",629,"Organic chemicals",62936,"Vitamins",2021,5768
6,"Chemical Products",629,"Organic chemicals",62941,"Antibiotics",2021,9078
6,"Chemical Products",630,"Pharmaceutical products",63004,"Packaged Medicaments",2021,44672.99999999999
6,"Chemical Products",630,"Pharmaceutical products",63005,"Bandages",2021,1788
6,"Chemical Products",632,"Paints, dyes, & varnishes",63201,"Vegetable Tanning Extracts",2021,20920
6,"Chemical Products",632,"Paints, dyes, & varnishes",63209,"Aqueous Paints",2021,5
6,"Chemical Products",632,"Paints, dyes, & varnishes",63214,"Glaziers Putty",2021,1760.9999999999998
6,"Chemical Products",633,"Perfumery & cosmetics",63301,"Essential Oils",2021,20
6,"Chemical Products",633,"Perfumery & cosmetics",63303,"Perfumes",2021,377
6,"Chemical Products",633,"Perfumery & cosmetics",63304,"Beauty Products",2021,11273
6,"Chemical Products",633,"Perfumery & cosmetics",63305,"Hair Products",2021,317
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63401,"Soap",2021,6066
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63402,"Cleaning Products",2021,18638
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63403,"Lubricating Products",2021,9431
