Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,893636.9999999999
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,3488
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,6017
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,38
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,5762726
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,31921808
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,6495625
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,9471050.999999998
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,20952827
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,5768.000000000001
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,3171
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,19512
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,387841
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,32058.000000000004
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,331
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,19916
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,2154
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,634
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,291
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,69
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,64199
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,296715
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,140183
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,17971
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,5139
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,54710
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,11968054.999999998
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,192
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,6022
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,151050
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,18560
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,167065
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20809,"Pitted Fruits",2021,16
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,204930
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,58272
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20812,"Preserved Fruits and Nuts",2021,5758
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,10272
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,2703
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,6524
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,113398
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20906,"Cinnamon",2021,4773
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20907,"Cloves",2021,5313
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20908,"Nutmeg, mace and cardamons",2021,2265
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20909,"Spice Seeds",2021,34891
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,851845
2,"Vegetable Products",210,"Cereals",21003,"Barley",2021,1061
2,"Vegetable Products",210,"Cereals",21005,"Corn",2021,5874
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,323923783
2,"Vegetable Products",210,"Cereals",21008,"Buckwheat",2021,163
2,"Vegetable Products",211,"Products of the milling industry",21101,"Wheat Flours",2021,911923
2,"Vegetable Products",211,"Products of the milling industry",21102,"Cereal Flours",2021,28651
2,"Vegetable Products",211,"Products of the milling industry",21103,"Cereal Meal and Pellets",2021,1426
2,"Vegetable Products",211,"Products of the milling industry",21104,"Processed Cereals",2021,2047
2,"Vegetable Products",211,"Products of the milling industry",21105,"Potato Flours",2021,964.0000000000001
2,"Vegetable Products",211,"Products of the milling industry",21106,"Legume Flours",2021,6253
2,"Vegetable Products",211,"Products of the milling industry",21108,"Starches",2021,91
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21201,"Soybeans",2021,4284
