Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,1421837
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,93301452
1,"Animal Products",101,"Live animals",10103,"Pigs",2021,51867452
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,575632
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,10093238
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,145583
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,24516763
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,8818463
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,16722930
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,1554669
1,"Animal Products",102,"Meat & edible offal",10205,"Horse Meat",2021,489865
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,3013489
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,26722607
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,479213
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,568826
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,16457556
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,1499682
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,176882555
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,20499093
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,56895861
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,29948460
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,1441861
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,14725417
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,21429030
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,2678348
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,25418797
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,3442412
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,4684964
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,33664725
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,3368920
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,1164302
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,2818140
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,23954
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,4
1,"Animal Products",105,"Animal originated products, n.e.s.",10502,"Pig Hair",2021,327.99999999999994
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,4427521
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,32287
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,7571.000000000001
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,51248
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,28414
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",2021,10043
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,4202456
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,70000
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,4648282
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,999855
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,97731
