Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,4134215
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,257524667
1,"Animal Products",101,"Live animals",10103,"Pigs",2021,65292386
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,53478769
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,157522517
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,20348672
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,44494324
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,15319986
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,392853445
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,2076474
1,"Animal Products",102,"Meat & edible offal",10205,"Horse Meat",2021,148625
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,25420917
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,637568817
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,47022766
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,14374967
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,20781295
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,11675478
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,2234357
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,838467
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,1938561
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,1221796
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,855846
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,949635
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,189450644
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,13312665
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,18328649
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,28166477
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,3716282
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,158534022
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,60368832
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,2372907
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,88863174
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,3979372.9999999995
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,28184
1,"Animal Products",105,"Animal originated products, n.e.s.",10502,"Pig Hair",2021,47515
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,8666607
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,95835257
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,2737709
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,3106335
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,218101
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",2021,2841286
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,28957344
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,2792549
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,69723704
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,6359694
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,1747182
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,4861857
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,9778330
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,2923623
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,8384220
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,9801967
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,16807117
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,5154788
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,1355240
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,85395508
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,82172631
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,4191749.9999999995
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,32119179
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,33409346
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,795435
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,1385052
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,12991480
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,13231917
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,13265105
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,7312767
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,3860329
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,14192226
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,11436904
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20809,"Pitted Fruits",2021,15299934
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,14620498
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,35638474
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20812,"Preserved Fruits and Nuts",2021,963825
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,6783015
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20814,"Citrus and Melon Peels",2021,3992
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,28320569
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,3102599
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20903,"Mate",2021,685
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,12191958
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20905,"Vanilla",2021,597391
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20906,"Cinnamon",2021,320774
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20907,"Cloves",2021,57637
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20908,"Nutmeg, mace and cardamons",2021,102600
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20909,"Spice Seeds",2021,1950637
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,4005951
