Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,1586645
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,166188055
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,12309067
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,13744445
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,18121304
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,21246
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,5918178.999999999
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,40871
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,79581
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,1328082
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,58768178
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,20
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,16949
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,1992290
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,16073486
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,1797313
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,4188975
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,11089672
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,53501
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,1117967
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,1041698
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,1389081
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,10593389
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,27464510
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,5027231
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,4112062
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,40448234
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,18405801
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,695580
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,30000
1,"Animal Products",105,"Animal originated products, n.e.s.",10502,"Pig Hair",2021,1000
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,139113
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,313692.00000000006
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,62224
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,2970.0000000000005
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,3002
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",2021,7000
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,336901
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,16312936
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,36558259
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,56464627
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,11621923
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,94491417
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,1626294
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,3853149
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,1030983
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,428313
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,68135696
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,3895
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,142158
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,139706643
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,23058870
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,222194
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,12892964
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,1521792
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,3986607
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,3437627
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,16271423
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,21115492
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,521508641
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,229474739
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,1102043
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,306351
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,31530300
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20809,"Pitted Fruits",2021,6999045
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,31792061
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,32761087
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20812,"Preserved Fruits and Nuts",2021,2987421
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,1459113
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20814,"Citrus and Melon Peels",2021,379329
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,13704363
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,2056674
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20903,"Mate",2021,148677
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,13502295
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20905,"Vanilla",2021,155703.99999999997
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20906,"Cinnamon",2021,887341
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20907,"Cloves",2021,7642
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20908,"Nutmeg, mace and cardamons",2021,61989
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20909,"Spice Seeds",2021,306507
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,8730383
2,"Vegetable Products",210,"Cereals",21001,"Wheat",2021,8498560
2,"Vegetable Products",210,"Cereals",21003,"Barley",2021,4559966
2,"Vegetable Products",210,"Cereals",21004,"Oats",2021,186391
2,"Vegetable Products",210,"Cereals",21005,"Corn",2021,7033705
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,34265944.00000001
2,"Vegetable Products",210,"Cereals",21007,"Sorghum",2021,1518739
2,"Vegetable Products",210,"Cereals",21008,"Buckwheat",2021,1658434
2,"Vegetable Products",211,"Products of the milling industry",21101,"Wheat Flours",2021,34577762
2,"Vegetable Products",211,"Products of the milling industry",21102,"Cereal Flours",2021,187236
2,"Vegetable Products",211,"Products of the milling industry",21103,"Cereal Meal and Pellets",2021,2002459
2,"Vegetable Products",211,"Products of the milling industry",21104,"Processed Cereals",2021,118161
2,"Vegetable Products",211,"Products of the milling industry",21105,"Potato Flours",2021,79337
2,"Vegetable Products",211,"Products of the milling industry",21106,"Legume Flours",2021,672920
2,"Vegetable Products",211,"Products of the milling industry",21107,"Malt",2021,82678
2,"Vegetable Products",211,"Products of the milling industry",21108,"Starches",2021,9210285
2,"Vegetable Products",211,"Products of the milling industry",21109,"Wheat Gluten",2021,6026.999999999999
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21201,"Soybeans",2021,398015
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21202,"Ground Nuts",2021,25380814
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21204,"Linseed",2021,9575
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21206,"Sunflower Seeds",2021,5381313
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21207,"Other Oily Seeds",2021,22991569
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21208,"Oil Seed Flower",2021,55991
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21209,"Sowing Seeds",2021,109377110
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",2021,22826141
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21212,"Locust beans, seaweed, sugar beet, cane, for food",2021,5248070
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21213,"Cereal Straws",2021,14335928
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21214,"Forage Crops",2021,80031
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21301,"Insect Resins",2021,253358
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21302,"Vegetable Saps",2021,22418979
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21401,"Vegetable Plaiting Materials",2021,124400
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21404,"Other Vegetable Products",2021,1360500
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31501,"Pig and Poultry Fat",2021,65070
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31502,"Bovine, Sheep, and Goat Fat",2021,438661
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31503,"Lard stearin and oils",2021,3000
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31504,"Fish Oil",2021,165654
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31505,"Wool Grease",2021,340031
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31506,"Other Animal Fats",2021,17974
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31507,"Soybean Oil",2021,6849544
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31508,"Ground Nut Oil",2021,41760
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31509,"Pure Olive Oil",2021,11198932
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31510,"Olive Oil",2021,29533
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31511,"Palm Oil",2021,67568
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31512,"Seed Oils",2021,546519
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31513,"Coconut Oil",2021,431096
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31514,"Rapeseed Oil",2021,83782
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31515,"Other Pure Vegetable Oils",2021,36519027
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31516,"Other Vegetable Oils",2021,1255704
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31517,"Margarine",2021,3689238
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31518,"Inedible Fats and Oils",2021,6416030
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31519,"Stearic Acid",2021,14322867
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31520,"Glycerol",2021,381438
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31521,"Vegetable waxes and beeswax",2021,11467
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41601,"Sausages",2021,13120943
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41602,"Other Prepared Meat",2021,24260783
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41603,"Animal Extracts",2021,4300
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41604,"Processed Fish",2021,10400245
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41605,"Processed Crustaceans",2021,628800
4,"Foodstuffs",417,"Sugars & confectioneries",41701,"Raw Sugar",2021,11253924
4,"Foodstuffs",417,"Sugars & confectioneries",41702,"Other Sugars",2021,42652240
4,"Foodstuffs",417,"Sugars & confectioneries",41703,"Molasses",2021,5315034
4,"Foodstuffs",417,"Sugars & confectioneries",41704,"Confectionery Sugar",2021,29472294
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41801,"Cocoa Beans",2021,7248
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41803,"Cocoa Paste",2021,125673.99999999999
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41804,"Cocoa Butter",2021,935785
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41805,"Cocoa Powder",2021,750258
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41806,"Chocolate",2021,85624057
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41901,"Malt Extract",2021,7426775
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41902,"Pasta",2021,14410598
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41903,"Tapioca",2021,33173
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41904,"Prepared Cereals",2021,5137512
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41905,"Baked Goods",2021,128701226
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42001,"Pickled Foods",2021,4023144
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42002,"Processed Tomatoes",2021,6982480
