Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,18305
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,340310
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,265617
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,3911
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,992057
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,3745
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,9285
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,76493
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,89.00000000000001
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,173900.99999999997
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,102837
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,92
1,"Animal Products",105,"Animal originated products, n.e.s.",10502,"Pig Hair",2021,52.00000000000001
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,973723.9999999999
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,21
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,29494
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,6585
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,11286
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,87370
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,236.00000000000003
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,19647.000000000004
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,50
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,176.00000000000003
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,1989435
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,17466
