Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,45120
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,16765
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,250291
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,210979
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,21558
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,329115
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,86368
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,4903850
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,30668
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,53415
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,99607
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,350709
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,472757
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,49320
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,15453959
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,5014778
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,524922
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,2544024
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,206664
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,435
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,11456
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,11790730
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,21554.000000000004
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,18445
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,201
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,347
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,52131
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,9694
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,8442
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,23009
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,22249
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,235481
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,13399
