Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,14898133
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,12030418
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,251216458
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,207895235
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,19613675
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,119258
1,"Animal Products",102,"Meat & edible offal",10205,"Horse Meat",2021,1131
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,2200897
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,13843961
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,170
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,59675
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,2355619
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,120528312
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,141803853
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,565475779
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,246580973
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,19232646
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,37452737
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,630832934
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,19428443
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,16690901
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,3889945
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,3120773
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,1918692
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,17724144
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,50407830
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,3269315
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,968083
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,290761
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,508013.00000000006
1,"Animal Products",105,"Animal originated products, n.e.s.",10502,"Pig Hair",2021,124000
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,197284
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,11831765
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,124143
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,36614
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,32927698
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",2021,983321
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,20125922
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,718751
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,50769508
