Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,7156341
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,3080778
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,1277909
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,631
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,277446
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,6072100.000000001
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,358343
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,79971
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,26701
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,245910
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,11967
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,2719019
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,13173983
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,1030867
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,210350
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,512
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,4825224
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,15047825
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,6013047
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,396355
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,16911602
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,8868618
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,44892
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,1683102
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,9347
1,"Animal Products",105,"Animal originated products, n.e.s.",10502,"Pig Hair",2021,420
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,1500665
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,61
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,4866
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,2994495
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,198
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,199349
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,28104
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,700
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,6237109
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,640218
