Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,19404
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,81962148
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,4316812
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,820
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,19914
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,4670
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,507
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,20
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,6593
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21203,"Copra",2021,1990563
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31513,"Coconut Oil",2021,5762575
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41901,"Malt Extract",2021,578
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41905,"Baked Goods",2021,532
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42005,"Other Processed Vegetables",2021,27.000000000000004
4,"Foodstuffs",421,"Miscellaneous edible preparations",42101,"Coffee and Tea Extracts",2021,71
4,"Foodstuffs",421,"Miscellaneous edible preparations",42103,"Sauces and Seasonings",2021,220
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",2021,271
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42208,"Hard Liquor",2021,4718.999999999999
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42307,"Wine Lees",2021,420
4,"Foodstuffs",424,"Tobacco & substitutes",42402,"Rolled Tobacco",2021,397.99999999999994
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52501,"Salt",2021,22177
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",2021,31917
6,"Chemical Products",630,"Pharmaceutical products",63004,"Packaged Medicaments",2021,23327
6,"Chemical Products",630,"Pharmaceutical products",63005,"Bandages",2021,58211.00000000001
6,"Chemical Products",630,"Pharmaceutical products",63006,"Special Pharmaceuticals",2021,38
6,"Chemical Products",632,"Paints, dyes, & varnishes",63208,"Nonaqueous Paints",2021,488
6,"Chemical Products",632,"Paints, dyes, & varnishes",63214,"Glaziers Putty",2021,90
6,"Chemical Products",632,"Paints, dyes, & varnishes",63215,"Ink",2021,75
6,"Chemical Products",633,"Perfumery & cosmetics",63304,"Beauty Products",2021,26819.999999999996
6,"Chemical Products",633,"Perfumery & cosmetics",63306,"Dental Products",2021,13367
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63401,"Soap",2021,36.00000000000001
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63402,"Cleaning Products",2021,86
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63403,"Lubricating Products",2021,15
6,"Chemical Products",635,"Glues, starches, & albuminoid products",63506,"Glues",2021,49
6,"Chemical Products",637,"Photo & movie goods",63701,"Photographic Plates",2021,64532
6,"Chemical Products",637,"Photo & movie goods",63707,"Photographic Chemicals",2021,22924
6,"Chemical Products",638,"Chemical products n.e.s.",63816,"Refractory Cements",2021,150
6,"Chemical Products",638,"Chemical products n.e.s.",63822,"Laboratory Reagents",2021,1338
6,"Chemical Products",638,"Chemical products n.e.s.",63823,"Industrial Fatty Acids, Oils and Alcohols",2021,13873.000000000002
