Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,128
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,49
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,55.99999999999999
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,42
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,2405
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,1
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,27.000000000000004
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,1030
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,654
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20905,"Vanilla",2021,5685239
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20907,"Cloves",2021,19807627
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20908,"Nutmeg, mace and cardamons",2021,20154
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,11851
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,3542
2,"Vegetable Products",210,"Cereals",21008,"Buckwheat",2021,114684
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21302,"Vegetable Saps",2021,9332
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31509,"Pure Olive Oil",2021,111
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31510,"Olive Oil",2021,130
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31515,"Other Pure Vegetable Oils",2021,7404
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41601,"Sausages",2021,201
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41605,"Processed Crustaceans",2021,267
4,"Foodstuffs",417,"Sugars & confectioneries",41704,"Confectionery Sugar",2021,1103
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41806,"Chocolate",2021,7250
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42009,"Fruit Juice",2021,1354
4,"Foodstuffs",421,"Miscellaneous edible preparations",42101,"Coffee and Tea Extracts",2021,8925
4,"Foodstuffs",421,"Miscellaneous edible preparations",42104,"Soups and Broths",2021,8621
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",2021,524
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42201,"Water",2021,21
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42202,"Flavored Water",2021,451
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42203,"Beer",2021,8890
4,"Foodstuffs",424,"Tobacco & substitutes",42402,"Rolled Tobacco",2021,29609
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52501,"Salt",2021,40
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52517,"Gravel and Crushed Stone",2021,105
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",2021,6089
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52711,"Petroleum Gas",2021,6107
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52712,"Petroleum Jelly",2021,9117
6,"Chemical Products",628,"Inorganic chemicals",62811,"Other Inorganic Acids",2021,9109
6,"Chemical Products",628,"Inorganic chemicals",62842,"Other Inorganic Acids Salts",2021,196
6,"Chemical Products",629,"Organic chemicals",62903,"Halogenated Hydrocarbons",2021,7513
6,"Chemical Products",630,"Pharmaceutical products",63002,"Vaccines, blood, antisera, toxins and cultures",2021,71896
6,"Chemical Products",630,"Pharmaceutical products",63004,"Packaged Medicaments",2021,5820
6,"Chemical Products",630,"Pharmaceutical products",63006,"Special Pharmaceuticals",2021,13.000000000000002
6,"Chemical Products",633,"Perfumery & cosmetics",63301,"Essential Oils",2021,10312003
6,"Chemical Products",633,"Perfumery & cosmetics",63302,"Scented Mixtures",2021,5397
6,"Chemical Products",633,"Perfumery & cosmetics",63303,"Perfumes",2021,683
6,"Chemical Products",633,"Perfumery & cosmetics",63304,"Beauty Products",2021,793
6,"Chemical Products",633,"Perfumery & cosmetics",63305,"Hair Products",2021,3284
6,"Chemical Products",633,"Perfumery & cosmetics",63307,"Shaving Products",2021,18.000000000000004
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63401,"Soap",2021,2414
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63402,"Cleaning Products",2021,290
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63403,"Lubricating Products",2021,3
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63406,"Candles",2021,235
6,"Chemical Products",638,"Chemical products n.e.s.",63802,"Activated Carbon",2021,196
6,"Chemical Products",638,"Chemical products n.e.s.",63815,"Reaction and Catalytic Products",2021,6397
6,"Chemical Products",638,"Chemical products n.e.s.",63821,"Micro-Organism Culture Preparations",2021,1
6,"Chemical Products",638,"Chemical products n.e.s.",63822,"Laboratory Reagents",2021,10057.000000000002
6,"Chemical Products",638,"Chemical products n.e.s.",63823,"Industrial Fatty Acids, Oils and Alcohols",2021,320009
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73901,"Ethylene Polymers",2021,709.0000000000001
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73917,"Plastic Pipes",2021,1400
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73918,"Plastic Floor Coverings",2021,71
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73919,"Self-adhesive Plastics",2021,4
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73920,"Raw Plastic Sheeting",2021,10
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73922,"Plastic Wash Basins",2021,304.00000000000006
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73923,"Plastic Lids",2021,67249
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73924,"Plastic Housewares",2021,4137
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73925,"Plastic Building Materials",2021,74.00000000000001
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73926,"Other Plastic Products",2021,23359
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74005,"Compounded Unvulcanised Rubber",2021,1095
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74011,"Rubber Tires",2021,1723
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74012,"Used Rubber Tires",2021,545
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74016,"Other Rubber Products",2021,1483
8,"Animal Hides",842,"Leather articles",84202,"Trunks and Cases",2021,15282
8,"Animal Hides",842,"Leather articles",84203,"Leather Apparel",2021,10747
9,"Wood Products",944,"Wood, wood articles, & charcoal",94407,"Sawn Wood",2021,558590
9,"Wood Products",944,"Wood, wood articles, & charcoal",94418,"Wood Carpentry",2021,47
9,"Wood Products",944,"Wood, wood articles, & charcoal",94419,"Wood Kitchenware",2021,71
9,"Wood Products",944,"Wood, wood articles, & charcoal",94421,"Other Wood Articles",2021,10405
9,"Wood Products",946,"Straw & esparto manufactures",94601,"Plaiting Products",2021,46
9,"Wood Products",946,"Straw & esparto manufactures",94602,"Basketwork",2021,96
10,"Paper Goods",1048,"Paper articles",104818,"Toilet Paper",2021,167257
10,"Paper Goods",1048,"Paper articles",104819,"Paper Containers",2021,36174
10,"Paper Goods",1048,"Paper articles",104820,"Paper Notebooks",2021,431.00000000000006
10,"Paper Goods",1048,"Paper articles",104823,"Shaped Paper",2021,493
10,"Paper Goods",1049,"Books, newspapers, & other prints",104901,"Brochures",2021,1262
10,"Paper Goods",1049,"Books, newspapers, & other prints",104903,"Children's Picture Books",2021,605
10,"Paper Goods",1049,"Books, newspapers, & other prints",104909,"Postcards",2021,245
10,"Paper Goods",1049,"Books, newspapers, & other prints",104910,"Calendars",2021,27.999999999999996
10,"Paper Goods",1049,"Books, newspapers, & other prints",104911,"Other Printed Material",2021,334
11,"Textiles",1152,"Cotton",115208,"Light Pure Woven Cotton",2021,255
11,"Textiles",1152,"Cotton",115209,"Heavy Pure Woven Cotton",2021,166
11,"Textiles",1152,"Cotton",115210,"Light Mixed Woven Cotton",2021,365
11,"Textiles",1152,"Cotton",115211,"Heavy Mixed Woven Cotton",2021,1037
11,"Textiles",1152,"Cotton",115212,"Other Cotton Fabrics",2021,700
11,"Textiles",1153,"Vegetable textile fibers, paper yarn & fabrics",115305,"Coconut and Other Vegetable Fibers",2021,43
11,"Textiles",1153,"Vegetable textile fibers, paper yarn & fabrics",115310,"Jute Woven Fabric",2021,74.00000000000001
11,"Textiles",1154,"Man-made filaments",115407,"Synthetic Filament Yarn Woven Fabric",2021,48519
11,"Textiles",1155,"Man-made staple fibres",115515,"Other Synthetic Fabrics",2021,72.00000000000001
11,"Textiles",1156,"Wadding, felt, nonwovens, twin, ropes, & articles thereof",115609,"Other Articles of Twine and Rope",2021,106
11,"Textiles",1157,"Carpets & textile floor covers",115701,"Knotted Carpets",2021,20
11,"Textiles",1157,"Carpets & textile floor covers",115702,"Hand-Woven Rugs",2021,4699
11,"Textiles",1157,"Carpets & textile floor covers",115703,"Tufted Carpets",2021,121
11,"Textiles",1157,"Carpets & textile floor covers",115704,"Felt Carpets",2021,1704
11,"Textiles",1158,"Special woven fabrics and tapestries",115802,"Terry Fabric",2021,179
11,"Textiles",1158,"Special woven fabrics and tapestries",115809,"Metallic Fabric",2021,157
11,"Textiles",1159,"Coated, covered, & laminated fabrics for industrial use",115909,"Hose Piping Textiles",2021,142
11,"Textiles",1160,"Knitted fabrics",116002,"Light Rubberized Knitted Fabric",2021,25
11,"Textiles",1161,"Knitted clothing accesories",116102,"Knit Women's Coats",2021,472.99999999999994
11,"Textiles",1161,"Knitted clothing accesories",116103,"Knit Men's Suits",2021,919
11,"Textiles",1161,"Knitted clothing accesories",116104,"Knit Women's Suits",2021,5447
11,"Textiles",1161,"Knitted clothing accesories",116105,"Knit Men's Shirts",2021,1127
11,"Textiles",1161,"Knitted clothing accesories",116106,"Knit Women's Shirts",2021,3283
11,"Textiles",1161,"Knitted clothing accesories",116109,"Knit T-shirts",2021,5946
11,"Textiles",1161,"Knitted clothing accesories",116110,"Knit Sweaters",2021,6544
11,"Textiles",1161,"Knitted clothing accesories",116111,"Knit Babies' Garments",2021,50
11,"Textiles",1161,"Knitted clothing accesories",116112,"Knit Active Wear",2021,1271
11,"Textiles",1161,"Knitted clothing accesories",116113,"Garments of Impregnated Fabric",2021,5971
11,"Textiles",1161,"Knitted clothing accesories",116114,"Other Knit Garments",2021,11622
11,"Textiles",1161,"Knitted clothing accesories",116115,"Knit Socks and Hosiery",2021,15
11,"Textiles",1161,"Knitted clothing accesories",116116,"Knit Gloves",2021,200
11,"Textiles",1161,"Knitted clothing accesories",116117,"Other Knit Clothing Accessories",2021,1025
11,"Textiles",1162,"Non-knitted clothing accesories",116201,"Non-Knit Men's Coats",2021,349
11,"Textiles",1162,"Non-knitted clothing accesories",116202,"Non-Knit Women's Coats",2021,3555
11,"Textiles",1162,"Non-knitted clothing accesories",116203,"Non-Knit Men's Suits",2021,3058
11,"Textiles",1162,"Non-knitted clothing accesories",116204,"Non-Knit Women's Suits",2021,5965
11,"Textiles",1162,"Non-knitted clothing accesories",116205,"Non-Knit Men's Shirts",2021,1205
11,"Textiles",1162,"Non-knitted clothing accesories",116206,"Non-Knit Women's Shirts",2021,630
11,"Textiles",1162,"Non-knitted clothing accesories",116207,"Non-Knit Men's Undergarments",2021,117
11,"Textiles",1162,"Non-knitted clothing accesories",116208,"Non-Knit Women's Undergarments",2021,207
11,"Textiles",1162,"Non-knitted clothing accesories",116209,"Non-Knit Babies' Garments",2021,6623
11,"Textiles",1162,"Non-knitted clothing accesories",116210,"Felt or Coated Fabric Garments",2021,32402.999999999996
11,"Textiles",1162,"Non-knitted clothing accesories",116211,"Non-Knit Active Wear",2021,83013
11,"Textiles",1162,"Non-knitted clothing accesories",116214,"Scarves",2021,53
11,"Textiles",1162,"Non-knitted clothing accesories",116216,"Non-Knit Gloves",2021,1040
11,"Textiles",1162,"Non-knitted clothing accesories",116217,"Other Non-Knit Clothing Accessories",2021,356
11,"Textiles",1163,"Used clothes & textile articles",116302,"House Linens",2021,1029
11,"Textiles",1163,"Used clothes & textile articles",116304,"Bedspreads",2021,1600
11,"Textiles",1163,"Used clothes & textile articles",116305,"Packing Bags",2021,118.00000000000001
11,"Textiles",1163,"Used clothes & textile articles",116307,"Other Cloth Articles",2021,36052.00000000001
11,"Textiles",1163,"Used clothes & textile articles",116309,"Used Clothing",2021,17605
12,"Footwear and Headwear",1264,"Footwear",126402,"Rubber Footwear",2021,3503
12,"Footwear and Headwear",1264,"Footwear",126403,"Leather Footwear",2021,451
12,"Footwear and Headwear",1264,"Footwear",126404,"Textile Footwear",2021,2995
12,"Footwear and Headwear",1264,"Footwear",126405,"Other Footwear",2021,1373
12,"Footwear and Headwear",1265,"Headgear",126504,"Hats",2021,463.99999999999994
12,"Footwear and Headwear",1265,"Headgear",126505,"Knitted Hats",2021,14.000000000000002
12,"Footwear and Headwear",1265,"Headgear",126506,"Other Headwear",2021,9.000000000000002
12,"Footwear and Headwear",1266,"Umbrellas, walking sticks, & whips",126601,"Umbrellas",2021,598
13,"Stone And Glass",1368,"Stone, plaster, cement, asbestos, mica.",136804,"Milling Stones",2021,69
13,"Stone And Glass",1368,"Stone, plaster, cement, asbestos, mica.",136810,"Cement Articles",2021,123.00000000000001
13,"Stone And Glass",1369,"Ceramic products",136911,"Porcelain Tableware",2021,6969
13,"Stone And Glass",1370,"Glass & glassware",137007,"Safety Glass",2021,954.0000000000001
13,"Stone And Glass",1370,"Glass & glassware",137008,"Insulating Glass",2021,12
13,"Stone And Glass",1370,"Glass & glassware",137013,"Interior Decorative Glassware",2021,1915
13,"Stone And Glass",1370,"Glass & glassware",137019,"Glass Fibers",2021,182
13,"Stone And Glass",1370,"Glass & glassware",137020,"Other Glass Articles",2021,402.99999999999994
14,"Precious Metals",1471,"Precious stones, metals, & pearls",147108,"Gold",2021,70268
14,"Precious Metals",1471,"Precious stones, metals, & pearls",147112,"Precious Metal Scraps",2021,5562
14,"Precious Metals",1471,"Precious stones, metals, & pearls",147114,"Metal-Clad Products",2021,50
14,"Precious Metals",1471,"Precious stones, metals, & pearls",147117,"Imitation Jewellery",2021,458
15,"Metals",1572,"Iron & steel",157203,"Iron Reductions",2021,689
15,"Metals",1572,"Iron & steel",157204,"Scrap Iron",2021,883397
15,"Metals",1572,"Iron & steel",157209,"Cold-Rolled Iron",2021,268433
15,"Metals",1572,"Iron & steel",157216,"Iron Blocks",2021,11488
15,"Metals",1573,"Iron/Steel Articles",157307,"Iron Pipe Fittings",2021,3519
15,"Metals",1573,"Iron/Steel Articles",157311,"Iron Gas Containers",2021,469677.00000000006
15,"Metals",1573,"Iron/Steel Articles",157314,"Iron Cloth",2021,742
15,"Metals",1573,"Iron/Steel Articles",157318,"Iron Fasteners",2021,226.00000000000003
15,"Metals",1573,"Iron/Steel Articles",157320,"Iron Springs",2021,240
15,"Metals",1573,"Iron/Steel Articles",157321,"Iron Stovetops",2021,700
15,"Metals",1573,"Iron/Steel Articles",157322,"Iron Radiators",2021,9508
15,"Metals",1573,"Iron/Steel Articles",157323,"Iron Housewares",2021,1049
15,"Metals",1573,"Iron/Steel Articles",157325,"Other Cast Iron Products",2021,1510
15,"Metals",1573,"Iron/Steel Articles",157326,"Other Iron Products",2021,539
15,"Metals",1574,"Copper articles",157404,"Scrap Copper",2021,133828
15,"Metals",1574,"Copper articles",157418,"Copper Housewares",2021,355
