Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,1608355
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,9184
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,30
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,153455
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,204
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,369
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,1255
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,3888
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,204
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,398
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,1720
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,833
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,21053
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,54612
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,249
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,163.99999999999997
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,1525
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,256
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,10353
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,825
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,357
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,16178
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,1749
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,11.000000000000002
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20906,"Cinnamon",2021,48
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,44.00000000000001
2,"Vegetable Products",211,"Products of the milling industry",21107,"Malt",2021,3146.0000000000005
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21209,"Sowing Seeds",2021,34859
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",2021,746928
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31511,"Palm Oil",2021,239
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31515,"Other Pure Vegetable Oils",2021,648
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31518,"Inedible Fats and Oils",2021,24497
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31519,"Stearic Acid",2021,59.00000000000001
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41601,"Sausages",2021,5590
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41602,"Other Prepared Meat",2021,32131
4,"Foodstuffs",417,"Sugars & confectioneries",41702,"Other Sugars",2021,1771
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41806,"Chocolate",2021,93
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41902,"Pasta",2021,302
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41905,"Baked Goods",2021,192
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42005,"Other Processed Vegetables",2021,1288
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42008,"Other Processed Fruits and Nuts",2021,1165
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42009,"Fruit Juice",2021,25713
4,"Foodstuffs",421,"Miscellaneous edible preparations",42101,"Coffee and Tea Extracts",2021,261978
4,"Foodstuffs",421,"Miscellaneous edible preparations",42103,"Sauces and Seasonings",2021,791
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",2021,7601
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42201,"Water",2021,37458
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42202,"Flavored Water",2021,557284
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42203,"Beer",2021,2939386
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42204,"Wine",2021,743
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42206,"Other Fermented Beverages",2021,1430148
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42207,"Alcohol > 80% ABV",2021,991
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42208,"Hard Liquor",2021,1256360
