Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,2528
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,67
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,202620
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,45870
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,1480
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,136.99999999999997
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,5123
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,6.999999999999999
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,358
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,46
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,7977
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,328
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,2189.9999999999995
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,157
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,95
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,174
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,1572
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,96
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,3195
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,3743
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,2531
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,6941
2,"Vegetable Products",210,"Cereals",21003,"Barley",2021,12
2,"Vegetable Products",210,"Cereals",21005,"Corn",2021,1
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,970
2,"Vegetable Products",211,"Products of the milling industry",21101,"Wheat Flours",2021,160
2,"Vegetable Products",211,"Products of the milling industry",21102,"Cereal Flours",2021,73
2,"Vegetable Products",211,"Products of the milling industry",21104,"Processed Cereals",2021,136
2,"Vegetable Products",211,"Products of the milling industry",21105,"Potato Flours",2021,2517525
2,"Vegetable Products",211,"Products of the milling industry",21106,"Legume Flours",2021,177
2,"Vegetable Products",211,"Products of the milling industry",21108,"Starches",2021,18.000000000000004
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21201,"Soybeans",2021,47
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21202,"Ground Nuts",2021,21
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21207,"Other Oily Seeds",2021,341
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21208,"Oil Seed Flower",2021,12
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",2021,2426
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21302,"Vegetable Saps",2021,250
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31509,"Pure Olive Oil",2021,160
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31511,"Palm Oil",2021,55
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31515,"Other Pure Vegetable Oils",2021,22253
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41602,"Other Prepared Meat",2021,214.99999999999997
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41604,"Processed Fish",2021,7169
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41605,"Processed Crustaceans",2021,1104
4,"Foodstuffs",417,"Sugars & confectioneries",41701,"Raw Sugar",2021,344
4,"Foodstuffs",417,"Sugars & confectioneries",41702,"Other Sugars",2021,277
4,"Foodstuffs",417,"Sugars & confectioneries",41704,"Confectionery Sugar",2021,1670
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41806,"Chocolate",2021,18093
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41901,"Malt Extract",2021,174
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41902,"Pasta",2021,134642
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41904,"Prepared Cereals",2021,28912.999999999996
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41905,"Baked Goods",2021,20855
