Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,19377
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,7772
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,20
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,18.000000000000004
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,1561.9999999999998
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,57
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,362.00000000000006
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,1014.9999999999999
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,191
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,3293
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,383
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,114
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,515336
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20906,"Cinnamon",2021,79156
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,55
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21209,"Sowing Seeds",2021,88981
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31510,"Olive Oil",2021,830
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31515,"Other Pure Vegetable Oils",2021,45033
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41601,"Sausages",2021,44.00000000000001
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41604,"Processed Fish",2021,66
4,"Foodstuffs",417,"Sugars & confectioneries",41702,"Other Sugars",2021,249
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41806,"Chocolate",2021,6.999999999999999
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41902,"Pasta",2021,117
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41904,"Prepared Cereals",2021,98
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41905,"Baked Goods",2021,958
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42005,"Other Processed Vegetables",2021,6755.000000000001
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42007,"Jams",2021,55
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42008,"Other Processed Fruits and Nuts",2021,66
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42009,"Fruit Juice",2021,3078
4,"Foodstuffs",421,"Miscellaneous edible preparations",42101,"Coffee and Tea Extracts",2021,29493
4,"Foodstuffs",421,"Miscellaneous edible preparations",42103,"Sauces and Seasonings",2021,44.00000000000001
4,"Foodstuffs",421,"Miscellaneous edible preparations",42104,"Soups and Broths",2021,77
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",2021,198694
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42201,"Water",2021,449
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42203,"Beer",2021,1614
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42204,"Wine",2021,320931
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42205,"Vermouth",2021,263
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42208,"Hard Liquor",2021,164529
4,"Foodstuffs",424,"Tobacco & substitutes",42402,"Rolled Tobacco",2021,168534
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52501,"Salt",2021,24331
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52505,"Sand",2021,1
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52518,"Dolomite",2021,5405
5,"Mineral Products",526,"Ores, slag and ash",52620,"Non-Iron and Steel Slag, Ash and Residues",2021,4312
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",2021,42550452
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52711,"Petroleum Gas",2021,17121722
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52713,"Petroleum Coke",2021,133
6,"Chemical Products",628,"Inorganic chemicals",62828,"Hypochlorites",2021,55
6,"Chemical Products",629,"Organic chemicals",62901,"Acyclic Hydrocarbons",2021,4286643
6,"Chemical Products",629,"Organic chemicals",62902,"Cyclic Hydrocarbons",2021,707.0000000000001
6,"Chemical Products",629,"Organic chemicals",62903,"Halogenated Hydrocarbons",2021,5155
6,"Chemical Products",629,"Organic chemicals",62916,"Unsaturated Acyclic Monocarboxylic Acids",2021,393.99999999999994
6,"Chemical Products",629,"Organic chemicals",62934,"Nucleic Acids",2021,1
6,"Chemical Products",629,"Organic chemicals",62936,"Vitamins",2021,855
6,"Chemical Products",630,"Pharmaceutical products",63001,"Glands and Other Organs",2021,6871
6,"Chemical Products",630,"Pharmaceutical products",63002,"Vaccines, blood, antisera, toxins and cultures",2021,3444
6,"Chemical Products",630,"Pharmaceutical products",63003,"Unpackaged Medicaments",2021,5347
6,"Chemical Products",630,"Pharmaceutical products",63004,"Packaged Medicaments",2021,62327
6,"Chemical Products",630,"Pharmaceutical products",63005,"Bandages",2021,959.0000000000001
6,"Chemical Products",630,"Pharmaceutical products",63006,"Special Pharmaceuticals",2021,566.0000000000001
6,"Chemical Products",631,"Fertilizers",63102,"Nitrogenous Fertilizers",2021,131
6,"Chemical Products",632,"Paints, dyes, & varnishes",63204,"Synthetic Coloring Matter",2021,140168
6,"Chemical Products",632,"Paints, dyes, & varnishes",63208,"Nonaqueous Paints",2021,42927
6,"Chemical Products",632,"Paints, dyes, & varnishes",63209,"Aqueous Paints",2021,5319
6,"Chemical Products",632,"Paints, dyes, & varnishes",63210,"Other Paints",2021,4562
6,"Chemical Products",632,"Paints, dyes, & varnishes",63212,"Nonaqueous Pigments",2021,14125
6,"Chemical Products",632,"Paints, dyes, & varnishes",63213,"Artistry Paints",2021,6
6,"Chemical Products",632,"Paints, dyes, & varnishes",63214,"Glaziers Putty",2021,8781
6,"Chemical Products",632,"Paints, dyes, & varnishes",63215,"Ink",2021,781
6,"Chemical Products",633,"Perfumery & cosmetics",63301,"Essential Oils",2021,234339
6,"Chemical Products",633,"Perfumery & cosmetics",63302,"Scented Mixtures",2021,3955
6,"Chemical Products",633,"Perfumery & cosmetics",63303,"Perfumes",2021,2400
6,"Chemical Products",633,"Perfumery & cosmetics",63304,"Beauty Products",2021,1405
6,"Chemical Products",633,"Perfumery & cosmetics",63305,"Hair Products",2021,468
6,"Chemical Products",633,"Perfumery & cosmetics",63306,"Dental Products",2021,177
6,"Chemical Products",633,"Perfumery & cosmetics",63307,"Shaving Products",2021,6666
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63401,"Soap",2021,9371
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63402,"Cleaning Products",2021,15788.000000000002
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63403,"Lubricating Products",2021,1000
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63407,"Pastes and Waxes",2021,30
6,"Chemical Products",635,"Glues, starches, & albuminoid products",63501,"Casein",2021,1378
6,"Chemical Products",635,"Glues, starches, & albuminoid products",63506,"Glues",2021,432.00000000000006
6,"Chemical Products",637,"Photo & movie goods",63707,"Photographic Chemicals",2021,2869.9999999999995
6,"Chemical Products",638,"Chemical products n.e.s.",63805,"Turpentine",2021,436
