Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,15300
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,22445194
1,"Animal Products",101,"Live animals",10103,"Pigs",2021,27144650
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,2200920
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,10645800
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,26994
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,1024000
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,1301907
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,157400
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,279000
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,1224000
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,193.99999999999997
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,1
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,2959
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,21635
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,58279
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,48
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,1500
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,5974
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,1092
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,1318
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,570
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,183496.00000000003
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,4490
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,11.000000000000002
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,148430
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,238963
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,288804
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,410048
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,2464
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,4038.0000000000005
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,4135271.9999999995
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,8765116
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,1500
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,375657.99999999994
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,106
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,1901078
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,8017271
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,132091
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,990241.0000000001
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,345597
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,1028642
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,272369311
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,1580660
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,16887
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,86078079
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,5314266
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,1949199
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,3262255
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,26095910.999999996
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,231235
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20809,"Pitted Fruits",2021,415835
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,21881251
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,63477
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,604250
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20814,"Citrus and Melon Peels",2021,15663
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,123393425
