Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,31439
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,1874
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,32060058
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,8503
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,4024182
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,93914.99999999999
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,390693
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,149058
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,147707
1,"Animal Products",102,"Meat & edible offal",10205,"Horse Meat",2021,73
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,342011
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,2465867
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,142084
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,35881
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,11449.000000000002
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,460321
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,2482358
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,259336
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,289221
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,2179
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,2315
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,125178
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,332582
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,590705
