Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,5135
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,8933
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,484884
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,113712
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,34601
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,327838
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,287061
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,87380
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,3575
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,1398775
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,76
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,166361
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,24508305
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,75820435
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,81045412
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,83709049
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,8766889
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,54456697
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,14460021
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,227794
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,5372581
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,685369
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,34221
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,373536
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,209203
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,2177284
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,23574
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,189440
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,889
1,"Animal Products",105,"Animal originated products, n.e.s.",10502,"Pig Hair",2021,5615.000000000001
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,587.0000000000001
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,884
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,802227.0000000001
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",2021,19862.000000000004
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,23993
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,11945
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,9707258
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,831796
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,8586821
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,194173
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,1516929
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,1942578
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,642217
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,626579
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,2041777
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,1103470.0000000002
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,1468441
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,14173476
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,3500978.0000000005
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,1997407
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,266430
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,8446875
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,5400830
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,119337424
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,41483848
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,18737256
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,10446292
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,2060230
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,52398.00000000001
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,7502411
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,86032
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20809,"Pitted Fruits",2021,127220
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,6104659
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,1361412
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20812,"Preserved Fruits and Nuts",2021,391774
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,2989613
