Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,222
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,163
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,96
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,40608.99999999999
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,700
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,48
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,6018383
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,2239
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,34214
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,73954
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,12
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,38019
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,78
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,377
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,62
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,9.000000000000002
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,912
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,760
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,330
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,140
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,13852
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,176
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,701
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,240
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,1163
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,117
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,6831
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,115385
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,228
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,23
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,48649
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,2500
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,2530
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20906,"Cinnamon",2021,143237
