Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,22.000000000000004
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,232528
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,191817
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,51
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,7388.999999999999
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,2415151
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,6661404
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,255
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,76771.99999999999
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,42848
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,2112
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,819
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,959.0000000000001
1,"Animal Products",105,"Animal originated products, n.e.s.",10502,"Pig Hair",2021,15
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,2657
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,5440
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,72671
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,60
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,581784
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,1851.0000000000002
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,4
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,325
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,23496
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,27.000000000000004
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,8
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,337.99999999999994
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,201.99999999999997
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,2878.9999999999995
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,223.99999999999997
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,1531886
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,1386871.9999999998
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,7579
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,625370
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,28.999999999999996
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20909,"Spice Seeds",2021,1
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,7031
2,"Vegetable Products",210,"Cereals",21001,"Wheat",2021,42446.00000000001
2,"Vegetable Products",210,"Cereals",21003,"Barley",2021,17
2,"Vegetable Products",210,"Cereals",21004,"Oats",2021,2
2,"Vegetable Products",210,"Cereals",21005,"Corn",2021,1774.0000000000002
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,21612
2,"Vegetable Products",210,"Cereals",21007,"Sorghum",2021,57.99999999999999
2,"Vegetable Products",211,"Products of the milling industry",21101,"Wheat Flours",2021,13580503.999999998
2,"Vegetable Products",211,"Products of the milling industry",21102,"Cereal Flours",2021,189770.99999999997
2,"Vegetable Products",211,"Products of the milling industry",21103,"Cereal Meal and Pellets",2021,852378
2,"Vegetable Products",211,"Products of the milling industry",21104,"Processed Cereals",2021,1159
2,"Vegetable Products",211,"Products of the milling industry",21105,"Potato Flours",2021,33
2,"Vegetable Products",211,"Products of the milling industry",21106,"Legume Flours",2021,560089
2,"Vegetable Products",211,"Products of the milling industry",21107,"Malt",2021,3458.0000000000005
2,"Vegetable Products",211,"Products of the milling industry",21108,"Starches",2021,134
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21201,"Soybeans",2021,81
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21202,"Ground Nuts",2021,1765
