Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,642681
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,55735306
1,"Animal Products",101,"Live animals",10103,"Pigs",2021,22785507
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,384196
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,7436540
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,2105191
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,95900977
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,45419179
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,17089504
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,723446
1,"Animal Products",102,"Meat & edible offal",10205,"Horse Meat",2021,432271
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,7978317
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,105603465
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,1326399
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,11107951
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,3772795
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,1332786
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,22822281
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,114524199
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,160530350
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,282553285
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,12973179
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,7654761
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,203412678
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,118367788
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,12400380
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,70263238
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,31143257
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,272013810
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,20799647
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,9759187
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,9884998
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,500223
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,6591199
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,206087
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,1239907
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,265555
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,2021168
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",2021,88807
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,8947060
