Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,11390487
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,18550583
1,"Animal Products",101,"Live animals",10103,"Pigs",2021,22574675
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,448311.00000000006
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,1297764
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,419595
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,8393337
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,1467683
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,6222965
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,1015346
1,"Animal Products",102,"Meat & edible offal",10205,"Horse Meat",2021,2856001
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,703355
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,3749623
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,494062
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,195263
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,929280
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,1196162
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,2569733
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,593453
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,282918
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,1355349
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,19606436
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,571796
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,65182191
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,37024526
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,52879001
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,973386
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,6395766
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,124727147
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,1154843
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,2673684
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,42806
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,14600
1,"Animal Products",105,"Animal originated products, n.e.s.",10502,"Pig Hair",2021,292.00000000000006
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,130929
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,866
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,12630
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,166
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,7909
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,2214546
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,453125
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,3201379
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,2253618
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,256075
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,6722794
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,1034752
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,495848
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,371310
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,986243
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,315966
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,220918
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,287328
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,4296432
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,587670
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,13292
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,210613
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,1383365
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,420558
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,157100
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,25689328
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,31966
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,4116470
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,2196087
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,439404
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,1383650
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,906299
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20809,"Pitted Fruits",2021,1488285
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,14252699
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,441637.00000000006
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20812,"Preserved Fruits and Nuts",2021,9065
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,103827
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20814,"Citrus and Melon Peels",2021,3441.9999999999995
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,44295127
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,278518
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20903,"Mate",2021,77.00000000000001
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,31287
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20905,"Vanilla",2021,32539
