Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,606227
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,53218
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,1757874
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,14411965
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,64713
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,305667.00000000006
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,116007
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,164166
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,371367
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,8173296
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,1457
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,181004
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,3620806
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,151960320
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,376371163
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,139864833
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,18246765
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,108842304
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,516144543
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,3376066
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,2234616
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,1841123.0000000002
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,173341
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,210375
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,23249426
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,24039689
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,16665
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,97563
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,3756
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,93578351
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,19791
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,8927
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,367199
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,4863568
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,1825340
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,25010607
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,8617460
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,107161
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,11616194
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,1131458121
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,45891264
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,28625740
