Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,900
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,6689631
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,319455
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,161987.99999999997
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,2794217
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,1927.0000000000002
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,4931876
1,"Animal Products",102,"Meat & edible offal",10205,"Horse Meat",2021,506697
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,231373
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,793141.9999999999
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,8294
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,92847.00000000001
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,381272
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,43263
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,25832
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,15362
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,34336.99999999999
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,374
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,148336
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,4319
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,535
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,7046925.000000001
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,551455
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,12800
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,13889438
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,14500
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,414604
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,146664
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,125
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,1624041
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,842.0000000000001
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,857195
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,138311
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,832608
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,1017053
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,27.000000000000004
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,822699
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,11866
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,41339
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,70425
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,1997806
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,161827
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,3674095
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,1089
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,50642147
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,66
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,3787
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,13270.000000000002
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,38477215
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,91720
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,92608253
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20809,"Pitted Fruits",2021,44829471
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,5141065
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,2739285
