Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,3057
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,22239
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,241.00000000000003
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,2559
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,1291.9999999999998
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,14363
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,29903.000000000004
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,677.9999999999999
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20906,"Cinnamon",2021,571.0000000000001
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,45.00000000000001
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,1351
2,"Vegetable Products",211,"Products of the milling industry",21101,"Wheat Flours",2021,1293
2,"Vegetable Products",211,"Products of the milling industry",21106,"Legume Flours",2021,86
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",2021,276.99999999999994
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21302,"Vegetable Saps",2021,2330
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31510,"Olive Oil",2021,92
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31515,"Other Pure Vegetable Oils",2021,1568
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31520,"Glycerol",2021,95
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41601,"Sausages",2021,12103
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41605,"Processed Crustaceans",2021,1238
4,"Foodstuffs",417,"Sugars & confectioneries",41702,"Other Sugars",2021,117
4,"Foodstuffs",417,"Sugars & confectioneries",41704,"Confectionery Sugar",2021,2740
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41804,"Cocoa Butter",2021,162
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41806,"Chocolate",2021,337.99999999999994
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41901,"Malt Extract",2021,569
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41902,"Pasta",2021,422
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41905,"Baked Goods",2021,1217
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42005,"Other Processed Vegetables",2021,6119
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42008,"Other Processed Fruits and Nuts",2021,241
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42009,"Fruit Juice",2021,6712
4,"Foodstuffs",421,"Miscellaneous edible preparations",42101,"Coffee and Tea Extracts",2021,114607.99999999999
4,"Foodstuffs",421,"Miscellaneous edible preparations",42103,"Sauces and Seasonings",2021,1510
4,"Foodstuffs",421,"Miscellaneous edible preparations",42104,"Soups and Broths",2021,580
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",2021,401479
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42201,"Water",2021,14092.999999999998
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42202,"Flavored Water",2021,181906
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42203,"Beer",2021,111544
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42204,"Wine",2021,377278
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42205,"Vermouth",2021,300
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42206,"Other Fermented Beverages",2021,10340
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42208,"Hard Liquor",2021,715379
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42209,"Vinegar",2021,335
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42309,"Animal Food",2021,44488
4,"Foodstuffs",424,"Tobacco & substitutes",42401,"Raw Tobacco",2021,825
4,"Foodstuffs",424,"Tobacco & substitutes",42402,"Rolled Tobacco",2021,137029
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52501,"Salt",2021,104.00000000000001
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52530,"Other Mineral",2021,871
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52707,"Coal Tar Oil",2021,275
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",2021,12987536.000000002
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52711,"Petroleum Gas",2021,10
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52712,"Petroleum Jelly",2021,27.000000000000004
6,"Chemical Products",628,"Inorganic chemicals",62801,"Halogens",2021,1617
6,"Chemical Products",628,"Inorganic chemicals",62804,"Hydrogen",2021,907
