Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,435760.99999999994
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,703668
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,26107
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,525000
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,2098356
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,154104
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,2511
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,393830
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,24111039
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,96393486
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,201907395
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,24605246
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,31294909
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,129805477
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,47289134
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,59328
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,192821.00000000003
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,19818
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,21600
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,11.000000000000002
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,4454895
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,26308819.000000004
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,2093
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,18814
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,77853.00000000001
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,385609
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,6588286
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,47661
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,44987
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,430769
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,40401
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,662.9999999999999
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,10964
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,31718858
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,3882875
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,2720
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,4218.999999999999
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,30739
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,2630835
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,20694332
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,1912477
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,7928.000000000001
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,2425019
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,1249310656
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,8444307
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,15418477
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,16701204.000000002
