Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,47903
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,6468
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,5403
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,16707
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,15658
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,8888
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,116348
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,22034.999999999996
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,148847
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,48621
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,494483
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,85644
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,192029
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,8806
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,1329049
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,11310
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,130076.99999999999
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,57137
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,18482
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,655411
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,144.00000000000003
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,1164108
