Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,111497.99999999999
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21206,"Sunflower Seeds",2021,80723
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41806,"Chocolate",2021,13.999999999999998
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41905,"Baked Goods",2021,20
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42009,"Fruit Juice",2021,845
4,"Foodstuffs",421,"Miscellaneous edible preparations",42101,"Coffee and Tea Extracts",2021,8789
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",2021,5970
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42202,"Flavored Water",2021,21452
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42302,"Bran",2021,4041.0000000000005
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42309,"Animal Food",2021,7690
5,"Mineral Products",526,"Ores, slag and ash",52620,"Non-Iron and Steel Slag, Ash and Residues",2021,1755
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",2021,878000
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52711,"Petroleum Gas",2021,822.0000000000001
6,"Chemical Products",630,"Pharmaceutical products",63004,"Packaged Medicaments",2021,5
6,"Chemical Products",632,"Paints, dyes, & varnishes",63215,"Ink",2021,108.00000000000001
6,"Chemical Products",633,"Perfumery & cosmetics",63301,"Essential Oils",2021,24
6,"Chemical Products",633,"Perfumery & cosmetics",63303,"Perfumes",2021,160
6,"Chemical Products",633,"Perfumery & cosmetics",63304,"Beauty Products",2021,842
6,"Chemical Products",633,"Perfumery & cosmetics",63305,"Hair Products",2021,36.00000000000001
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63401,"Soap",2021,23
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63402,"Cleaning Products",2021,1
6,"Chemical Products",637,"Photo & movie goods",63705,"Developed Exposed Photographic Material",2021,60
6,"Chemical Products",638,"Chemical products n.e.s.",63808,"Pesticides",2021,864.0000000000001
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73923,"Plastic Lids",2021,3
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73926,"Other Plastic Products",2021,3087
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74010,"Rubber Belting",2021,7809
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74016,"Other Rubber Products",2021,129
8,"Animal Hides",842,"Leather articles",84202,"Trunks and Cases",2021,22073
10,"Paper Goods",1047,"Wood pulp & paper scrap",104707,"Recovered Paper",2021,10562.999999999998
10,"Paper Goods",1048,"Paper articles",104819,"Paper Containers",2021,38.00000000000001
10,"Paper Goods",1049,"Books, newspapers, & other prints",104901,"Brochures",2021,105
10,"Paper Goods",1049,"Books, newspapers, & other prints",104902,"Newspapers",2021,684
10,"Paper Goods",1049,"Books, newspapers, & other prints",104911,"Other Printed Material",2021,51
11,"Textiles",1153,"Vegetable textile fibers, paper yarn & fabrics",115309,"Flax Woven Fabric",2021,2029.9999999999998
11,"Textiles",1154,"Man-made filaments",115407,"Synthetic Filament Yarn Woven Fabric",2021,941
11,"Textiles",1157,"Carpets & textile floor covers",115705,"Other Carpets",2021,2552
11,"Textiles",1161,"Knitted clothing accesories",116103,"Knit Men's Suits",2021,20
11,"Textiles",1161,"Knitted clothing accesories",116104,"Knit Women's Suits",2021,815
11,"Textiles",1161,"Knitted clothing accesories",116109,"Knit T-shirts",2021,179
11,"Textiles",1161,"Knitted clothing accesories",116114,"Other Knit Garments",2021,3683
11,"Textiles",1161,"Knitted clothing accesories",116117,"Other Knit Clothing Accessories",2021,1372
11,"Textiles",1162,"Non-knitted clothing accesories",116203,"Non-Knit Men's Suits",2021,276
11,"Textiles",1162,"Non-knitted clothing accesories",116204,"Non-Knit Women's Suits",2021,3157
11,"Textiles",1162,"Non-knitted clothing accesories",116205,"Non-Knit Men's Shirts",2021,150
11,"Textiles",1162,"Non-knitted clothing accesories",116206,"Non-Knit Women's Shirts",2021,218
11,"Textiles",1162,"Non-knitted clothing accesories",116210,"Felt or Coated Fabric Garments",2021,55.99999999999999
11,"Textiles",1162,"Non-knitted clothing accesories",116211,"Non-Knit Active Wear",2021,52.00000000000001
11,"Textiles",1163,"Used clothes & textile articles",116302,"House Linens",2021,104
11,"Textiles",1163,"Used clothes & textile articles",116304,"Bedspreads",2021,235
11,"Textiles",1163,"Used clothes & textile articles",116306,"Awnings, Tents, and Sails",2021,358
11,"Textiles",1163,"Used clothes & textile articles",116309,"Used Clothing",2021,1057
12,"Footwear and Headwear",1264,"Footwear",126403,"Leather Footwear",2021,1946
12,"Footwear and Headwear",1265,"Headgear",126505,"Knitted Hats",2021,236.99999999999997
13,"Stone And Glass",1369,"Ceramic products",136911,"Porcelain Tableware",2021,50
13,"Stone And Glass",1369,"Ceramic products",136912,"Ceramic Tableware",2021,8
14,"Precious Metals",1471,"Precious stones, metals, & pearls",147114,"Metal-Clad Products",2021,441
14,"Precious Metals",1471,"Precious stones, metals, & pearls",147117,"Imitation Jewellery",2021,720
15,"Metals",1572,"Iron & steel",157204,"Scrap Iron",2021,1337709
15,"Metals",1573,"Iron/Steel Articles",157304,"Iron Pipes",2021,14568
15,"Metals",1573,"Iron/Steel Articles",157318,"Iron Fasteners",2021,1922
15,"Metals",1573,"Iron/Steel Articles",157323,"Iron Housewares",2021,1040
15,"Metals",1573,"Iron/Steel Articles",157326,"Other Iron Products",2021,3841
15,"Metals",1574,"Copper articles",157404,"Scrap Copper",2021,228741
15,"Metals",1574,"Copper articles",157408,"Copper Wire",2021,170
