Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,48
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,47
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,80
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,2799
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,686
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,163.99999999999997
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,209009
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,44685
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,7201
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20907,"Cloves",2021,74.00000000000001
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20908,"Nutmeg, mace and cardamons",2021,93.00000000000001
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,25
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41604,"Processed Fish",2021,14970
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41605,"Processed Crustaceans",2021,11.000000000000002
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41901,"Malt Extract",2021,48974
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41904,"Prepared Cereals",2021,6457.999999999999
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42005,"Other Processed Vegetables",2021,1613.0000000000002
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42008,"Other Processed Fruits and Nuts",2021,293
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",2021,13393
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42201,"Water",2021,3715
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42208,"Hard Liquor",2021,174
4,"Foodstuffs",424,"Tobacco & substitutes",42402,"Rolled Tobacco",2021,71345
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52501,"Salt",2021,22153.000000000004
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52505,"Sand",2021,2273867
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52517,"Gravel and Crushed Stone",2021,1126882
6,"Chemical Products",630,"Pharmaceutical products",63001,"Glands and Other Organs",2021,4193
6,"Chemical Products",630,"Pharmaceutical products",63002,"Vaccines, blood, antisera, toxins and cultures",2021,471.00000000000006
6,"Chemical Products",630,"Pharmaceutical products",63004,"Packaged Medicaments",2021,11015
6,"Chemical Products",630,"Pharmaceutical products",63005,"Bandages",2021,31007
6,"Chemical Products",630,"Pharmaceutical products",63006,"Special Pharmaceuticals",2021,297106
6,"Chemical Products",632,"Paints, dyes, & varnishes",63204,"Synthetic Coloring Matter",2021,540
6,"Chemical Products",632,"Paints, dyes, & varnishes",63214,"Glaziers Putty",2021,175
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63402,"Cleaning Products",2021,50819
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63403,"Lubricating Products",2021,450
6,"Chemical Products",637,"Photo & movie goods",63705,"Developed Exposed Photographic Material",2021,20877
6,"Chemical Products",638,"Chemical products n.e.s.",63808,"Pesticides",2021,9799
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73906,"Acrylic Polymers",2021,268
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73917,"Plastic Pipes",2021,20548
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73918,"Plastic Floor Coverings",2021,892
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73919,"Self-adhesive Plastics",2021,967.0000000000001
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73920,"Raw Plastic Sheeting",2021,29673.999999999996
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73921,"Other Plastic Sheetings",2021,149
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73923,"Plastic Lids",2021,3396
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73924,"Plastic Housewares",2021,1643
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73926,"Other Plastic Products",2021,5558
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74006,"Unvulcanised Rubber Products",2021,63
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74009,"Rubber Pipes",2021,151
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74010,"Rubber Belting",2021,12
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74011,"Rubber Tires",2021,296.00000000000006
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74012,"Used Rubber Tires",2021,1210
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74015,"Rubber Apparel",2021,202
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74016,"Other Rubber Products",2021,2908
8,"Animal Hides",842,"Leather articles",84202,"Trunks and Cases",2021,3779
9,"Wood Products",944,"Wood, wood articles, & charcoal",94418,"Wood Carpentry",2021,293
9,"Wood Products",944,"Wood, wood articles, & charcoal",94419,"Wood Kitchenware",2021,36.00000000000001
10,"Paper Goods",1048,"Paper articles",104818,"Toilet Paper",2021,350.00000000000006
10,"Paper Goods",1048,"Paper articles",104820,"Paper Notebooks",2021,4207
10,"Paper Goods",1048,"Paper articles",104823,"Shaped Paper",2021,23
10,"Paper Goods",1049,"Books, newspapers, & other prints",104901,"Brochures",2021,3767
10,"Paper Goods",1049,"Books, newspapers, & other prints",104909,"Postcards",2021,1413
11,"Textiles",1151,"Wool & animal hair",115106,"Non-Retail Carded Wool Yarn",2021,62
11,"Textiles",1152,"Cotton",115207,"Retail Cotton Yarn",2021,70
11,"Textiles",1157,"Carpets & textile floor covers",115704,"Felt Carpets",2021,87
11,"Textiles",1161,"Knitted clothing accesories",116103,"Knit Men's Suits",2021,3656
11,"Textiles",1161,"Knitted clothing accesories",116104,"Knit Women's Suits",2021,5283.000000000001
11,"Textiles",1161,"Knitted clothing accesories",116107,"Knit Men's Undergarments",2021,16
11,"Textiles",1161,"Knitted clothing accesories",116108,"Knit Women's Undergarments",2021,117
11,"Textiles",1161,"Knitted clothing accesories",116109,"Knit T-shirts",2021,47
11,"Textiles",1161,"Knitted clothing accesories",116110,"Knit Sweaters",2021,3586.0000000000005
11,"Textiles",1161,"Knitted clothing accesories",116112,"Knit Active Wear",2021,1750
11,"Textiles",1162,"Non-knitted clothing accesories",116201,"Non-Knit Men's Coats",2021,864.0000000000001
11,"Textiles",1162,"Non-knitted clothing accesories",116203,"Non-Knit Men's Suits",2021,1745
11,"Textiles",1162,"Non-knitted clothing accesories",116204,"Non-Knit Women's Suits",2021,2311
11,"Textiles",1162,"Non-knitted clothing accesories",116205,"Non-Knit Men's Shirts",2021,65
11,"Textiles",1162,"Non-knitted clothing accesories",116206,"Non-Knit Women's Shirts",2021,66
11,"Textiles",1162,"Non-knitted clothing accesories",116211,"Non-Knit Active Wear",2021,1543
11,"Textiles",1162,"Non-knitted clothing accesories",116212,"Other Women's Undergarments",2021,335
11,"Textiles",1162,"Non-knitted clothing accesories",116217,"Other Non-Knit Clothing Accessories",2021,358
11,"Textiles",1163,"Used clothes & textile articles",116302,"House Linens",2021,169
11,"Textiles",1163,"Used clothes & textile articles",116307,"Other Cloth Articles",2021,1672
11,"Textiles",1163,"Used clothes & textile articles",116309,"Used Clothing",2021,418
12,"Footwear and Headwear",1264,"Footwear",126403,"Leather Footwear",2021,938
12,"Footwear and Headwear",1265,"Headgear",126505,"Knitted Hats",2021,4988
12,"Footwear and Headwear",1267,"Feather articles, feathers, artificial flowers, & articles of human hair",126703,"Processed Hair",2021,629
13,"Stone And Glass",1368,"Stone, plaster, cement, asbestos, mica.",136805,"Abrasive Powder",2021,1258
13,"Stone And Glass",1368,"Stone, plaster, cement, asbestos, mica.",136815,"Other Stone Articles",2021,17
13,"Stone And Glass",1369,"Ceramic products",136908,"Glazed Ceramics",2021,465
13,"Stone And Glass",1369,"Ceramic products",136910,"Bathroom Ceramics",2021,27.999999999999996
13,"Stone And Glass",1370,"Glass & glassware",137007,"Safety Glass",2021,115
13,"Stone And Glass",1370,"Glass & glassware",137008,"Insulating Glass",2021,15520
13,"Stone And Glass",1370,"Glass & glassware",137009,"Glass Mirrors",2021,468
13,"Stone And Glass",1370,"Glass & glassware",137013,"Interior Decorative Glassware",2021,558
14,"Precious Metals",1471,"Precious stones, metals, & pearls",147115,"Other Precious Metal Products",2021,7572
14,"Precious Metals",1471,"Precious stones, metals, & pearls",147117,"Imitation Jewellery",2021,30
15,"Metals",1572,"Iron & steel",157207,"Semi-Finished Iron",2021,5576007
15,"Metals",1572,"Iron & steel",157210,"Coated Flat-Rolled Iron",2021,185
15,"Metals",1572,"Iron & steel",157223,"Stainless Steel Wire",2021,256510.99999999997
15,"Metals",1573,"Iron/Steel Articles",157312,"Stranded Iron Wire",2021,13.999999999999998
15,"Metals",1573,"Iron/Steel Articles",157318,"Iron Fasteners",2021,8803
15,"Metals",1573,"Iron/Steel Articles",157321,"Iron Stovetops",2021,622
15,"Metals",1573,"Iron/Steel Articles",157326,"Other Iron Products",2021,3206
15,"Metals",1576,"Aluminum articles",157608,"Aluminium Pipes",2021,18048
15,"Metals",1576,"Aluminum articles",157616,"Other Aluminium Products",2021,5932
15,"Metals",1582,"Tools & cutlery",158205,"Other Hand Tools",2021,55.99999999999999
15,"Metals",1582,"Tools & cutlery",158207,"Interchangeable Tool Parts",2021,78962
15,"Metals",1582,"Tools & cutlery",158208,"Cutting Blades",2021,8495
15,"Metals",1583,"Miscellaneous metal products",158302,"Metal Mountings",2021,36.00000000000001
16,"Machines",1684,"Machinery, mechanical appliances, & parts",168408,"Combustion Engines",2021,9565
16,"Machines",1684,"Machinery, mechanical appliances, & parts",168409,"Engine Parts",2021,12184
16,"Machines",1684,"Machinery, mechanical appliances, & parts",168411,"Gas Turbines",2021,151401
